datetime;wse;wse_u
2018-11-30 02:04:40;4.676;0.112
2018-12-27 02:04:41;3.228;0.135
2019-01-23 02:04:42;1.612;0.067
2019-02-19 02:04:43;1.664;0.013
2019-03-18 02:04:47;1.598;0.166
2019-04-14 02:04:49;1.411;0.328
2019-05-11 02:04:47;2.336;0.043
2019-06-07 02:04:42;4.834;0.054
2019-07-04 02:04:43;7.522;0.008
2019-07-31 02:04:44;9.200;0.017
2019-08-27 02:04:43;10.310;0.008
2019-09-23 02:04:42;9.509;0.049
2019-10-20 02:04:39;6.646;0.097
2019-11-16 02:04:44;5.661;0.020
2019-12-13 02:04:44;4.045;0.006
2020-01-09 02:04:43;3.051;0.008
2020-02-05 02:04:40;1.613;0.004
2020-04-26 02:04:48;1.432;0.381
2020-05-23 02:04:51;2.867;0.024
2020-06-19 02:04:54;5.070;0.005
2020-08-12 02:04:55;9.061;0.006
2020-09-08 02:04:54;8.256;0.013
2020-10-05 02:04:50;5.994;0.129
2020-11-01 02:04:55;5.447;0.009
2020-11-28 02:04:57;6.402;0.047
2020-12-25 02:04:55;4.767;0.000
2021-01-21 02:04:54;3.336;0.074
2021-02-17 02:04:53;1.893;0.097
2021-03-16 02:04:55;1.516;0.044
2021-04-12 02:04:53;2.546;0.018
2021-05-09 02:04:57;5.458;0.003
2021-06-05 02:05:01;7.767;0.054
2021-07-02 02:05:04;9.135;0.005
2021-07-29 02:05:05;9.736;0.006
2021-08-25 02:05:07;11.062;0.013
2021-09-21 02:05:04;9.388;0.060
2021-11-14 02:05:02;6.399;0.037
2021-12-11 02:05:02;4.035;0.073
2022-01-07 02:05:01;3.244;0.050
2022-02-03 02:04:57;1.649;0.005
2022-03-02 02:05:01;1.621;0.065
2022-03-29 02:05:01;3.039;0.090
2022-04-25 02:05:04;2.725;0.014
2022-05-22 02:05:09;5.697;0.079
2022-06-18 02:05:13;7.992;0.021
2022-07-15 02:05:15;9.418;0.041
2022-09-07 02:05:15;10.385;0.224
2022-10-04 02:05:11;9.003;0.132
2022-10-31 02:05:15;6.920;0.003
2022-11-27 02:05:15;7.273;0.163
2022-12-24 02:05:14;4.149;0.013
2023-01-20 02:05:10;2.992;0.013
2023-02-16 02:05:13;1.735;0.013
2023-03-15 02:05:14;2.398;0.306
2023-04-11 02:05:13;1.536;0.008
2023-05-08 02:05:17;2.888;0.083
2023-06-04 02:05:19;5.076;0.010
2023-07-01 02:05:22;7.834;0.060
2023-07-28 02:05:23;8.995;0.039
2023-08-24 02:05:24;9.223;0.007
2023-09-20 02:05:19;6.999;0.026
2023-10-17 02:05:24;4.367;0.006
2023-11-13 02:05:25;3.845;0.052
2023-12-10 02:05:24;3.132;0.038
2024-01-06 02:05:20;2.197;0.098
2024-02-02 02:05:22;2.328;0.462
2024-02-29 02:05:25;1.457;0.102
2024-03-27 02:05:21;2.899;0.218
2024-04-23 02:05:27;2.326;0.024
2024-05-20 02:05:31;4.499;0.044
2024-06-16 02:05:35;7.357;0.004
2024-07-13 02:05:37;9.185;0.046
2024-08-09 02:05:38;10.519;0.046
2024-09-05 02:05:37;9.721;0.004
2024-10-02 02:05:32;7.105;0.001
2024-10-29 02:05:36;4.891;0.032
2024-11-25 02:05:39;4.014;0.004
2024-12-22 02:05:36;3.667;0.025
2025-01-18 02:05:34;3.382;0.003
2025-02-14 02:05:37;2.325;0.005
2025-03-13 02:05:37;2.131;0.020
2025-04-09 02:05:36;2.741;0.003
2025-05-06 02:05:39;4.270;0.008
2025-06-02 02:05:43;6.724;0.003
2025-06-29 02:05:48;9.135;0.011
2025-07-26 02:05:49;10.133;0.035
2025-08-22 02:05:51;11.351;0.020
2025-09-18 02:05:49;10.952;0.056
2025-10-15 02:05:47;9.358;0.011
2025-11-11 02:05:51;6.633;0.002
