datetime;wse;wse_u
2016-06-05 14:16:48;7.822;0.015
2016-07-02 14:16:49;9.985;0.008
2016-07-29 14:16:48;12.028;0.035
2016-08-25 14:16:46;12.880;0.002
2016-09-21 14:16:51;12.247;0.005
2016-10-18 14:16:51;9.740;0.014
2016-11-14 14:16:48;7.421;0.016
2016-12-11 14:16:45;6.551;0.005
2017-01-07 14:16:48;5.471;0.157
2017-02-03 14:16:49;2.840;0.042
2017-03-02 14:16:48;2.164;0.356
2017-03-29 14:16:50;2.625;0.061
2017-06-18 14:16:58;8.613;0.030
2017-07-15 14:16:55;10.993;0.004
2017-08-11 14:16:53;13.364;0.009
2017-09-07 14:16:49;12.284;0.031
2017-10-04 14:16:53;9.594;0.002
2017-10-31 14:16:55;8.435;0.007
2017-11-27 14:16:52;6.613;0.084
2017-12-24 14:16:53;5.834;0.041
2018-02-16 14:16:56;3.685;0.263
2018-05-08 14:16:59;4.640;0.040
2018-06-04 14:16:59;7.850;0.002
2018-07-01 14:17:00;11.013;0.009
2018-07-28 14:16:57;13.483;0.004
2018-08-24 14:16:54;14.251;0.023
2018-09-20 14:16:57;13.644;0.025
2018-10-17 14:17:00;11.180;0.004
2018-11-13 14:16:59;7.988;0.002
2019-01-06 14:16:57;2.495;0.028
2019-05-21 14:17:05;4.574;0.060
2019-06-17 14:17:03;7.492;0.002
2019-07-14 14:17:03;10.520;0.010
2019-08-10 14:17:01;12.487;0.033
2019-09-06 14:16:59;12.465;0.026
2019-10-03 14:17:02;10.960;0.026
2019-10-30 14:17:02;8.336;0.034
2019-11-26 14:16:58;7.132;0.001
2019-12-23 14:16:58;6.025;0.461
2020-01-19 14:17:01;2.870;0.009
2020-05-06 14:17:08;2.187;0.220
2020-06-02 14:17:07;4.986;0.046
2020-06-29 14:17:07;7.439;0.028
2020-07-26 14:17:06;9.651;0.007
2020-08-22 14:17:04;11.502;0.012
2020-09-18 14:17:04;9.480;0.023
2020-10-15 14:17:06;7.747;0.006
2020-11-11 14:17:04;7.518;0.022
2020-12-08 14:16:59;7.570;0.015
2021-04-22 14:17:11;5.378;0.018
2021-05-19 14:17:12;8.110;0.029
2021-06-15 14:17:13;10.725;0.022
2021-07-12 14:17:13;11.449;0.002
2021-08-08 14:17:09;12.962;0.008
2021-09-04 14:17:07;13.440;0.028
2021-10-01 14:17:10;11.484;0.004
2021-10-28 14:17:10;9.772;0.024
2022-03-12 14:17:10;2.153;0.459
2022-04-08 14:17:13;3.664;0.002
2022-05-05 14:17:15;3.572;0.061
2022-06-01 14:17:13;8.566;0.004
2022-06-28 14:17:12;11.404;0.023
2022-07-25 14:17:09;12.426;0.028
2022-08-21 14:17:05;12.702;0.031
2022-09-17 14:17:09;12.813;0.017
2022-10-14 14:17:08;10.621;0.002
2022-11-10 14:17:07;9.719;0.002
2022-12-07 14:17:03;8.334;0.023
2023-01-03 14:17:06;4.773;0.244
2023-02-26 14:17:05;2.264;0.121
2023-04-21 14:17:12;2.458;0.088
2023-05-18 14:17:10;4.146;0.058
2023-06-14 14:17:06;8.287;0.001
2023-07-11 14:17:06;11.084;0.021
2023-08-07 14:17:02;12.131;0.036
2023-09-03 14:17:02;11.326;0.009
2023-09-30 14:17:03;8.020;0.031
2023-10-27 14:17:05;6.763;0.025
2023-11-23 14:17:02;5.707;0.095
2023-12-20 14:17:06;3.283;0.026
2024-01-16 14:17:07;3.841;0.330
2024-05-03 14:17:12;2.308;0.018
2024-05-30 14:17:11;6.379;0.038
2024-06-26 14:17:11;9.928;0.001
2024-07-23 14:17:08;11.921;0.012
2024-08-19 14:17:06;12.753;0.024
2024-09-15 14:17:04;10.553;0.023
2024-10-12 14:17:08;7.268;0.014
2024-12-05 14:17:04;5.454;0.034
2025-01-01 14:17:05;3.168;0.070
2025-02-24 14:17:08;2.144;0.052
2025-03-23 14:17:08;2.245;0.122
2025-05-16 14:17:15;5.857;0.020
2025-06-12 14:17:14;9.137;0.036
2025-07-09 14:17:15;12.094;0.029
2025-08-05 14:17:15;13.609;0.040
2025-09-01 14:17:11;14.030;0.039
2025-09-28 14:17:15;12.511;0.036
2025-10-25 14:17:16;10.155;0.030
2025-11-21 14:17:14;7.102;0.034
