datetime;wse;wse_u
2002-06-20 02:00:34;2.543;0.026
2002-07-25 02:00:34;4.316;0.005
2002-08-29 02:00:29;4.057;0.019
2002-10-03 02:00:33;3.759;0.009
2002-11-07 02:00:31;2.287;0.095
2002-12-12 02:00:30;1.705;0.301
2003-02-20 02:00:28;1.478;0.538
2003-05-01 02:00:34;1.376;0.009
2003-06-05 02:00:30;2.277;0.106
2003-07-10 02:00:36;3.419;0.001
2003-08-14 02:00:39;4.480;0.011
2003-09-18 02:00:42;4.307;0.011
2003-10-23 02:00:37;2.779;0.008
2003-11-27 02:00:39;2.882;0.065
2004-01-01 02:00:40;2.278;0.151
2004-02-05 02:00:36;2.127;0.479
2004-06-24 02:00:40;2.773;0.013
2004-07-29 02:00:42;3.355;0.011
2004-09-02 02:00:40;4.248;0.004
2004-10-07 02:00:40;3.748;0.059
2004-11-11 02:00:38;2.534;0.056
2004-12-16 02:00:35;2.333;0.004
2005-02-24 02:00:36;1.447;0.029
2005-05-05 02:00:44;2.151;0.002
2005-06-09 02:00:42;2.946;0.077
2005-07-14 02:00:44;3.763;0.000
2005-08-18 02:00:39;3.552;0.031
2005-09-22 02:00:39;3.618;0.090
2005-10-27 02:00:41;2.715;0.002
2005-12-01 02:00:35;1.888;0.159
2006-01-05 02:00:28;1.772;0.091
2006-02-09 02:00:29;1.567;0.126
2006-03-16 02:00:28;1.519;0.012
2006-05-25 02:00:34;1.990;0.038
2006-06-29 02:00:39;3.423;0.015
2006-08-03 02:00:40;4.536;0.008
2006-09-07 02:00:34;4.512;0.036
2006-10-12 02:00:37;3.121;0.018
2006-11-16 02:00:37;1.817;0.020
2006-12-21 02:00:36;2.182;0.043
2007-01-25 02:00:29;1.323;0.264
2007-04-05 02:00:29;1.418;0.077
2007-05-10 02:00:34;1.347;0.034
2007-06-14 02:00:35;2.859;0.001
2007-08-23 02:00:35;4.664;0.003
2007-11-01 02:00:30;3.563;0.003
2007-12-06 02:00:26;2.202;0.002
2008-01-10 02:00:29;2.156;0.074
2008-02-14 02:00:28;1.418;0.035
2008-03-20 02:00:30;1.409;0.117
2008-04-24 02:00:27;1.436;0.036
2008-05-29 02:00:29;1.573;0.000
2008-07-03 02:00:30;3.240;0.057
2008-08-07 02:00:30;4.113;0.021
2008-09-11 02:00:25;4.354;0.064
2008-10-16 02:00:27;3.711;0.042
2008-11-20 02:00:25;2.775;0.051
2008-12-25 02:00:27;2.762;0.006
2009-01-29 02:00:24;2.074;0.008
2009-04-09 02:00:24;1.662;0.018
2009-05-14 02:00:27;1.775;0.023
2009-06-18 02:00:29;1.800;0.082
2009-07-23 02:00:28;3.337;0.009
2009-08-27 02:00:27;4.121;0.088
2009-10-01 02:00:22;3.261;0.008
2009-11-05 02:00:22;2.696;0.043
2009-12-10 02:00:19;1.413;0.100
2010-01-14 02:00:22;1.366;0.081
2010-02-18 02:00:20;1.472;0.005
2010-04-29 02:00:19;2.271;0.058
2010-06-03 02:00:19;2.839;0.158
2010-07-08 02:00:18;3.903;0.012
2010-08-12 02:00:21;4.787;0.045
2010-09-16 02:00:19;4.741;0.040
2013-04-20 10:05:19;1.272;0.002
2013-05-25 10:04:58;2.221;0.012
2013-06-29 10:04:39;3.512;0.011
2013-08-03 10:04:20;3.722;0.003
2013-09-07 10:04:34;4.279;0.005
2013-10-12 10:04:39;3.189;0.001
2013-11-16 10:04:41;2.481;0.028
2013-12-21 10:04:38;1.609;0.033
2014-01-25 10:04:35;1.124;0.006
2014-03-01 10:04:33;1.027;0.023
2014-04-05 10:04:33;0.902;0.004
2014-05-10 10:04:31;1.687;0.028
2014-06-14 10:04:29;2.266;0.016
2014-07-19 10:04:24;3.407;0.008
2014-08-23 10:04:21;4.311;0.006
2014-09-27 10:04:18;3.994;0.026
2014-11-01 10:04:14;3.069;0.019
2014-12-06 10:04:12;2.415;0.007
2015-01-10 10:04:09;1.203;0.003
2015-02-14 10:04:06;1.319;0.016
2015-03-21 10:04:04;1.139;0.007
2015-04-25 10:04:04;0.961;0.013
2015-08-08 10:03:47;4.119;0.027
2015-09-12 10:03:42;4.316;0.006
2015-10-17 10:03:36;2.413;0.021
2015-11-21 10:03:34;2.188;0.014
2015-12-26 10:03:22;1.290;0.058
2016-01-30 10:03:19;0.664;0.031
2016-03-05 10:03:13;1.324;0.011
2016-05-14 10:02:59;1.682;0.020
