datetime;wse;wse_u
2002-08-01 14:10:02;2.555;0.003
2002-09-05 14:09:59;2.910;0.069
2002-10-10 14:10:04;2.232;0.137
2002-11-14 14:10:03;2.010;0.091
2002-12-19 14:09:56;1.719;0.057
2003-06-12 14:10:02;1.921;0.001
2003-07-17 14:10:07;2.335;0.001
2003-08-21 14:10:11;2.589;0.100
2003-09-25 14:10:10;2.820;0.000
2003-10-30 14:10:03;2.385;0.034
2004-01-08 14:10:08;1.967;0.021
2004-02-12 14:10:06;1.747;0.005
2004-03-18 14:10:09;1.931;0.477
2004-05-27 14:10:10;1.920;0.126
2004-07-01 14:10:09;2.272;0.121
2004-08-05 14:10:11;2.767;0.006
2004-09-09 14:10:09;2.622;0.070
2004-10-14 14:10:11;2.404;0.086
2004-11-18 14:10:08;1.971;0.031
2004-12-23 14:10:04;1.893;0.002
2005-01-27 14:10:06;1.882;0.091
2005-03-03 14:10:06;1.913;0.081
2005-04-07 14:10:09;1.797;0.069
2005-06-16 14:10:13;1.758;0.004
2005-07-21 14:10:13;2.232;0.106
2005-08-25 14:10:08;2.590;0.002
2005-09-29 14:10:09;2.202;0.005
2005-11-03 14:10:10;1.638;0.193
2005-12-08 14:10:04;1.926;0.002
2006-01-12 14:09:56;1.981;0.005
2006-02-16 14:09:59;2.038;0.008
2006-03-23 14:09:56;1.902;0.086
2006-06-01 14:10:03;1.840;0.053
2006-07-06 14:10:09;2.294;0.260
2006-08-10 14:10:09;2.809;0.343
2006-09-14 14:10:02;2.622;0.023
2006-10-19 14:10:08;1.982;0.007
2006-11-23 14:10:07;1.815;0.012
2006-12-28 14:10:04;1.753;0.086
2007-02-01 14:10:00;1.939;0.001
2007-03-08 14:10:02;1.658;0.059
2007-06-21 14:10:05;1.946;0.068
2007-07-26 14:10:06;2.417;0.020
2007-08-30 14:10:04;3.136;0.020
2007-10-04 14:10:00;2.518;0.044
2007-12-13 14:09:57;2.009;0.000
2008-01-17 14:09:59;2.135;0.062
2008-02-21 14:09:58;1.958;0.005
2008-03-27 14:10:00;1.813;0.138
2008-05-01 14:09:58;1.930;0.001
2008-06-05 14:09:59;1.941;0.020
2008-07-10 14:10:00;1.951;0.021
2008-08-14 14:09:59;2.800;0.002
2008-09-18 14:09:56;2.753;0.006
2008-10-23 14:09:57;2.164;0.022
2008-11-27 14:09:55;2.107;0.008
2009-01-01 14:09:56;2.239;0.000
2009-02-05 14:09:55;1.960;0.001
2009-04-16 14:09:54;1.848;0.005
2009-05-21 14:09:57;1.847;0.003
2009-07-30 14:09:58;2.279;0.005
2009-09-03 14:09:56;2.468;0.015
2009-10-08 14:09:52;2.241;0.004
2009-12-17 14:09:50;2.060;0.538
2010-06-10 14:09:49;1.788;0.005
2010-07-15 14:09:49;2.804;0.000
2010-08-19 14:09:50;2.879;0.018
2010-09-23 14:09:47;2.930;0.054
2013-03-23 22:15:06;1.945;0.016
2013-04-27 22:14:45;1.817;0.021
2013-06-01 22:14:23;1.921;0.015
2013-07-06 22:14:03;2.124;0.037
2013-08-10 22:13:55;2.413;0.005
2013-09-14 22:14:07;2.767;0.007
2013-10-19 22:14:10;2.284;0.000
2013-11-23 22:14:09;1.871;0.020
2013-12-28 22:14:06;1.933;0.000
2014-02-01 22:14:05;2.043;0.006
2014-03-08 22:14:03;1.806;0.026
2014-04-12 22:14:01;1.732;0.087
2014-05-17 22:13:58;1.415;0.285
2014-06-21 22:13:58;1.499;0.014
2014-07-26 22:13:53;2.244;0.011
2014-08-30 22:13:50;2.714;0.001
2014-10-04 22:13:46;2.482;0.008
2014-11-08 22:13:44;2.046;0.002
2014-12-13 22:13:40;2.123;0.007
2015-01-17 22:13:37;2.123;0.009
2015-02-21 22:13:34;1.791;0.003
2015-03-28 22:13:32;1.809;0.005
2015-05-02 22:13:28;1.355;0.006
2015-08-15 22:13:16;2.608;0.001
2015-09-19 22:13:11;2.647;0.002
2015-10-24 22:13:05;1.966;0.013
2015-11-28 22:13:00;1.801;0.032
2016-01-02 22:12:48;1.725;0.048
2016-02-06 22:12:48;1.775;0.024
