datetime;wse;wse_u
2016-05-24 14:28:11;27.336;0.004
2016-06-20 14:28:13;29.474;0.011
2016-07-17 14:28:12;32.088;0.001
2016-08-13 14:28:11;33.154;0.049
2016-09-09 14:28:12;32.328;0.008
2016-10-06 14:28:16;30.904;0.051
2016-11-02 14:28:12;28.121;0.008
2016-11-29 14:28:10;26.394;0.007
2016-12-26 14:28:11;24.967;0.020
2017-01-22 14:28:13;23.329;0.015
2017-02-18 14:28:12;21.040;0.015
2017-03-17 14:28:11;20.932;0.057
2017-04-13 14:28:16;22.221;0.021
2017-05-10 14:28:19;25.201;0.014
2017-06-06 14:28:22;27.756;0.004
2017-07-03 14:28:20;30.691;0.040
2017-07-30 14:28:18;32.819;0.011
2017-08-26 14:28:15;32.587;0.080
2017-10-19 14:28:18;28.925;0.015
2017-11-15 14:28:17;27.953;0.011
2017-12-12 14:28:14;24.497;0.059
2018-01-08 14:28:19;21.650;0.042
2018-02-04 14:28:20;21.657;0.032
2018-03-30 14:28:19;19.327;0.040
2018-04-26 14:28:22;22.503;0.016
2018-05-23 14:28:22;27.547;0.080
2018-06-19 14:28:23;30.057;0.014
2018-07-16 14:28:22;32.879;0.008
2018-08-12 14:28:19;34.212;0.003
2018-09-08 14:28:19;33.957;0.010
2018-11-01 14:28:23;28.746;0.028
2018-11-28 14:28:20;26.074;0.042
2018-12-25 14:28:18;22.618;0.042
2019-01-21 14:28:21;20.290;0.098
2019-02-17 14:28:22;20.106;0.009
2019-03-16 14:28:20;19.253;0.047
2019-04-12 14:28:25;20.189;0.019
2019-05-09 14:28:28;23.169;0.086
2019-06-05 14:28:27;26.897;0.021
2019-07-02 14:28:27;29.859;0.003
2019-07-29 14:28:26;31.525;0.020
2019-08-25 14:28:22;32.262;0.015
2019-09-21 14:28:25;31.646;0.033
2019-10-18 14:28:26;28.488;0.041
2019-11-14 14:28:24;27.304;0.025
2019-12-11 14:28:19;24.963;0.035
2020-01-07 14:28:23;23.518;0.006
2020-02-03 14:28:24;20.983;0.064
2020-03-01 14:28:23;19.697;0.026
2020-03-28 14:28:26;19.607;0.030
2020-04-24 14:28:30;20.631;0.034
2020-07-14 14:28:30;29.347;0.007
2020-08-10 14:28:29;30.405;0.066
2020-09-06 14:28:26;30.002;0.032
2020-10-03 14:28:29;27.887;0.017
2020-10-30 14:28:29;26.949;0.068
2020-11-26 14:28:24;27.477;0.009
2020-12-23 14:28:24;25.626;0.025
2021-01-19 14:28:30;23.708;0.028
2021-02-15 14:28:30;21.659;0.014
2021-04-10 14:28:32;22.365;0.057
2021-05-07 14:28:35;26.101;0.051
2021-06-03 14:28:35;29.237;0.007
2021-06-30 14:28:37;31.286;0.040
2021-07-27 14:28:35;31.985;0.084
2021-08-23 14:28:32;33.044;0.072
2021-09-19 14:28:32;31.695;0.022
2021-10-16 14:28:34;30.673;0.013
2021-12-09 14:28:32;24.867;0.080
2022-02-01 14:28:37;20.759;0.003
2022-02-28 14:28:34;20.331;0.074
2022-03-27 14:28:36;22.178;0.013
2022-04-23 14:28:38;22.798;0.031
2022-05-20 14:28:36;26.903;0.029
2022-06-16 14:28:36;29.791;0.032
2022-07-13 14:28:34;31.781;0.089
2022-09-05 14:28:31;32.644;0.002
2022-10-02 14:28:31;31.020;0.029
2022-11-25 14:28:27;28.225;0.039
2022-12-22 14:28:28;24.783;0.016
2023-01-18 14:28:29;22.361;0.019
2023-02-14 14:28:30;20.771;0.009
2023-03-13 14:28:29;20.567;0.077
2023-04-09 14:28:35;21.130;0.000
2023-05-06 14:28:35;23.735;0.030
2023-06-02 14:28:34;26.821;0.004
2023-06-29 14:28:30;29.593;0.013
2023-07-26 14:28:26;31.258;0.013
2023-08-22 14:28:24;31.921;0.000
2023-09-18 14:28:28;29.201;0.003
2023-10-15 14:28:27;25.130;0.034
2023-11-11 14:28:25;24.969;0.040
2023-12-08 14:28:25;23.537;0.027
2024-01-04 14:28:28;22.274;0.046
2024-01-31 14:28:31;20.646;0.052
2024-02-27 14:28:29;20.576;0.022
2024-03-25 14:28:32;19.831;0.022
2024-04-21 14:28:34;20.877;0.045
2024-05-18 14:28:35;25.196;0.025
2024-06-14 14:28:36;29.415;0.060
2024-07-11 14:28:32;31.514;0.052
2024-09-03 14:28:27;31.277;0.015
2024-09-30 14:28:31;28.014;0.062
2024-10-27 14:28:31;25.448;0.019
2024-11-23 14:28:29;24.422;0.025
2024-12-20 14:28:26;23.038;0.040
2025-01-16 14:28:32;23.247;0.019
2025-02-12 14:28:34;21.147;0.073
2025-03-11 14:28:30;20.789;0.019
2025-05-04 14:28:38;24.973;0.038
2025-05-31 14:28:40;28.321;0.021
2025-07-24 14:28:40;31.548;0.076
2025-10-13 14:28:38;30.663;0.039
2025-11-09 14:28:39;27.843;0.045
