datetime;wse;wse_u
2002-08-03 02:17:34;30.990;0.005
2002-09-07 02:17:32;30.976;0.005
2002-10-12 02:17:36;27.908;0.070
2002-11-16 02:17:37;25.339;0.035
2002-12-21 02:17:30;22.218;0.050
2003-01-25 02:17:33;18.907;0.059
2003-03-01 02:17:31;21.486;0.041
2003-05-10 02:17:33;22.195;0.007
2003-06-14 02:17:35;26.585;0.037
2003-07-19 02:17:41;29.395;0.019
2003-08-23 02:17:44;31.028;0.018
2003-11-01 02:17:37;27.711;0.054
2003-12-06 02:17:41;25.518;0.021
2004-01-10 02:17:41;21.656;0.110
2004-02-14 02:17:39;19.161;0.102
2004-03-20 02:17:42;18.201;0.048
2004-04-24 02:17:39;19.357;0.060
2004-05-29 02:17:44;26.272;0.008
2004-07-03 02:17:43;28.950;0.046
2004-08-07 02:17:44;30.839;0.002
2004-09-11 02:17:42;30.721;0.013
2004-10-16 02:17:44;28.940;0.001
2004-11-20 02:17:42;25.138;0.008
2004-12-25 02:17:37;23.889;0.126
2005-03-05 02:17:39;18.769;0.060
2005-04-09 02:17:42;17.808;0.034
2005-05-14 02:17:46;24.265;0.012
2005-06-18 02:17:46;27.127;0.013
2005-07-23 02:17:46;28.336;0.006
2005-08-27 02:17:41;29.861;0.015
2005-10-01 02:17:42;28.193;0.019
2005-11-05 02:17:43;24.500;0.020
2005-12-10 02:17:37;24.473;0.077
2006-01-14 02:17:30;23.125;0.030
2006-02-18 02:17:32;20.957;0.073
2006-03-25 02:17:29;19.428;0.042
2006-04-29 02:17:36;21.363;0.005
2006-06-03 02:17:36;25.476;0.026
2006-07-08 02:17:42;28.891;0.008
2006-08-12 02:17:42;31.230;0.045
2006-09-16 02:17:36;29.793;0.023
2006-10-21 02:17:41;26.627;0.006
2006-11-25 02:17:40;25.534;0.003
2006-12-30 02:17:37;22.355;0.003
2007-02-03 02:17:34;18.857;0.109
2007-04-14 02:17:34;19.981;0.042
2007-05-19 02:17:37;23.956;0.012
2007-06-23 02:17:38;27.199;0.032
2007-07-28 02:17:39;30.555;0.015
2007-09-01 02:17:37;30.594;0.000
2007-10-06 02:17:33;28.955;0.008
2007-11-10 02:17:32;27.040;0.019
2007-12-15 02:17:30;22.673;0.055
2008-01-19 02:17:32;20.528;0.031
2008-02-23 02:17:31;18.626;0.205
2008-03-29 02:17:33;18.040;0.116
2008-05-03 02:17:31;20.085;0.045
2008-06-07 02:17:33;25.214;0.014
2008-07-12 02:17:33;28.270;0.022
2008-08-16 02:17:32;30.529;0.151
2008-09-20 02:17:29;29.466;0.009
2008-10-25 02:17:30;26.319;0.014
2008-11-29 02:17:29;25.235;0.000
2009-01-03 02:17:29;22.127;0.170
2009-02-07 02:17:28;20.528;0.012
2009-03-14 02:17:30;20.127;0.132
2009-04-18 02:17:28;19.459;0.082
2009-05-23 02:17:30;22.235;0.025
2009-06-27 02:17:32;25.162;0.061
2009-08-01 02:17:31;28.768;0.005
2009-09-05 02:17:29;29.290;0.005
2009-10-10 02:17:25;25.669;0.052
2009-11-14 02:17:25;22.528;0.026
2009-12-19 02:17:23;20.494;0.022
2010-01-23 02:17:25;17.281;0.007
2010-02-27 02:17:23;15.960;0.024
2010-04-03 02:17:24;17.130;0.048
2010-05-08 02:17:22;24.493;0.068
2010-06-12 02:17:22;27.265;0.001
2010-07-17 02:17:22;30.148;0.014
2010-08-21 02:17:23;31.329;0.011
2010-09-25 02:17:20;29.709;0.029
2013-03-25 10:22:39;19.455;0.181
2013-04-29 10:22:17;21.099;0.008
2013-06-03 10:21:55;24.831;0.000
2013-07-08 10:21:34;27.933;0.007
2013-08-12 10:21:28;29.322;0.006
2013-09-16 10:21:41;29.487;0.003
2013-10-21 10:21:43;26.652;0.001
2013-11-25 10:21:42;24.049;0.006
2013-12-30 10:21:40;21.183;0.007
2014-03-10 10:21:36;16.597;0.003
2014-04-14 10:21:34;18.706;0.010
2014-05-19 10:21:31;22.770;0.004
2014-06-23 10:21:31;25.146;0.003
2014-09-01 10:21:23;30.553;0.014
2014-10-06 10:21:19;27.951;0.004
2014-11-10 10:21:16;26.465;0.006
2014-12-15 10:21:14;22.435;0.020
2015-01-19 10:21:10;19.114;0.049
2015-03-30 10:21:04;19.033;0.020
2015-05-04 10:21:00;21.233;0.004
2015-08-17 10:20:49;29.933;0.008
2015-09-21 10:20:45;29.295;0.003
2015-10-26 10:20:39;24.448;0.010
2015-11-30 10:20:33;23.535;0.004
2016-01-04 10:20:20;20.456;0.016
2016-02-08 10:20:21;17.754;0.027
2016-03-14 10:20:13;16.458;0.003
2016-04-18 10:20:17;18.878;0.023
2016-05-23 10:19:55;23.078;0.008
