datetime;wse;wse_u
2018-11-26 02:08:18;9.283;0.014
2018-12-23 02:08:20;6.022;0.012
2019-01-19 02:08:22;4.102;0.010
2019-02-15 02:08:22;3.628;0.054
2019-03-14 02:08:27;4.260;0.484
2019-04-10 02:08:28;3.435;0.055
2019-05-07 02:08:27;5.247;0.038
2019-06-03 02:08:22;8.928;0.001
2019-06-30 02:08:22;11.808;0.017
2019-07-27 02:08:24;14.011;0.004
2019-08-23 02:08:23;15.697;0.015
2019-10-16 02:08:18;11.786;0.006
2019-11-12 02:08:23;10.510;0.128
2019-12-09 02:08:24;8.283;0.006
2020-01-05 02:08:23;6.533;0.039
2020-02-01 02:08:20;4.514;0.050
2020-02-28 02:08:23;4.787;0.832
2020-03-26 02:08:25;4.097;0.447
2020-04-22 02:08:27;3.470;0.019
2020-05-19 02:08:30;5.390;0.007
2020-06-15 02:08:33;9.069;0.004
2020-07-12 02:08:35;11.222;0.009
2020-08-08 02:08:35;13.332;0.008
2020-09-04 02:08:34;13.244;0.036
2020-10-28 02:08:34;10.818;0.261
2020-11-24 02:08:37;10.311;0.038
2020-12-21 02:08:35;9.221;0.180
2021-01-17 02:08:34;7.307;0.026
2021-02-13 02:08:32;4.801;0.001
2021-03-12 02:08:35;3.913;0.056
2021-04-08 02:08:33;4.907;0.018
2021-05-05 02:08:36;8.389;0.025
2021-06-01 02:08:40;11.577;0.017
2021-06-28 02:08:44;13.896;0.015
2021-07-25 02:08:44;14.552;0.004
2021-08-21 02:08:46;16.188;0.009
2021-09-17 02:08:44;15.166;0.038
2021-10-14 02:08:40;13.562;0.018
2021-11-10 02:08:41;11.389;0.043
2021-12-07 02:08:42;8.358;0.083
2022-01-03 02:08:41;6.286;0.024
2022-01-30 02:08:37;4.059;0.036
2022-02-26 02:08:41;3.300;0.001
2022-03-25 02:08:40;5.428;0.035
2022-04-21 02:08:43;5.693;0.049
2022-05-18 02:08:48;9.018;0.026
2022-06-14 02:08:52;12.106;0.032
2022-08-07 02:08:54;15.086;0.411
2022-09-03 02:08:55;15.675;0.021
2022-09-30 02:08:51;14.502;0.004
2022-11-23 02:08:53;11.556;0.008
2022-12-20 02:08:53;9.059;0.025
2023-01-16 02:08:50;5.960;0.067
2023-02-12 02:08:54;4.471;0.023
2023-03-11 02:08:53;3.804;0.017
2023-04-07 02:08:51;4.383;0.149
2023-05-04 02:08:56;5.653;0.073
2023-05-31 02:08:59;8.544;0.020
2023-06-27 02:09:01;12.561;0.089
2023-07-24 02:09:03;13.718;0.114
2023-08-20 02:09:04;14.552;0.005
2023-09-16 02:09:00;12.731;0.065
2023-11-09 02:09:06;7.596;0.018
2023-12-06 02:09:03;6.645;0.017
2024-01-02 02:09:01;5.155;0.033
2024-01-29 02:09:01;3.825;0.027
2024-02-25 02:09:04;3.619;0.029
2024-03-23 02:09:02;3.047;0.357
2024-04-19 02:09:06;3.954;0.004
2024-05-16 02:09:10;7.221;0.028
2024-06-12 02:09:16;11.556;0.043
2024-07-09 02:09:16;14.164;0.080
2024-08-05 02:09:18;16.268;0.011
2024-09-01 02:09:18;15.001;0.101
2024-09-28 02:09:13;12.123;0.162
2024-10-25 02:09:15;9.107;0.006
2024-11-21 02:09:18;7.606;0.049
2024-12-18 02:09:15;7.137;0.017
2025-01-14 02:09:14;6.622;0.037
2025-02-10 02:09:14;4.764;0.024
2025-03-09 02:09:17;4.413;0.049
2025-04-05 02:09:16;5.590;0.015
2025-05-02 02:09:17;7.757;0.016
2025-05-29 02:09:23;10.670;0.009
2025-06-25 02:09:26;14.086;0.004
2025-08-18 02:09:30;17.343;0.003
2025-10-11 02:09:26;14.612;0.013
