datetime;wse;wse_u
2019-03-31 02:06:47;1.611;0.064
2019-04-27 02:06:51;1.604;0.047
2019-05-24 02:06:52;4.674;0.018
2019-06-20 02:06:50;7.634;0.023
2019-07-17 02:06:50;10.555;0.019
2019-08-13 02:06:47;12.268;0.025
2019-09-09 02:06:47;12.179;0.004
2019-10-06 02:06:49;10.262;0.015
2019-11-02 02:06:49;8.592;0.022
2019-11-29 02:06:45;7.585;0.051
2019-12-26 02:06:46;4.475;0.064
2020-01-22 02:06:48;2.743;0.013
2020-02-18 02:06:48;1.773;0.032
2020-03-16 02:06:47;1.408;0.057
2020-04-12 02:06:53;1.539;0.015
2020-05-09 02:06:55;2.048;0.047
2020-06-05 02:06:54;5.326;0.004
2020-07-02 02:06:54;7.729;0.002
2020-07-29 02:06:53;9.697;0.001
2020-08-25 02:06:50;11.195;0.010
2020-09-21 02:06:52;9.206;0.016
2020-10-18 02:06:53;8.371;0.092
2020-11-14 02:06:51;7.404;0.052
2020-12-11 02:06:46;7.542;0.001
2021-01-07 02:06:51;5.491;0.158
2021-02-03 02:06:55;3.056;0.059
2021-03-02 02:06:53;2.105;0.001
2021-03-29 02:06:53;2.331;0.007
2021-04-25 02:06:58;5.702;0.012
2021-05-22 02:06:59;8.312;0.255
2021-06-18 02:07:00;10.640;0.012
2021-07-15 02:07:00;11.410;0.010
2021-08-11 02:06:56;12.847;0.013
2021-09-07 02:06:54;13.174;0.003
2021-10-04 02:06:57;11.188;0.029
2021-10-31 02:06:56;9.683;0.001
2021-12-24 02:06:56;4.966;0.047
2022-01-20 02:07:00;2.475;0.000
2022-02-16 02:06:59;1.723;0.019
2022-03-15 02:06:57;2.366;0.100
2022-04-11 02:06:59;3.800;0.070
2022-05-08 02:07:02;4.877;0.012
2022-06-04 02:07:01;8.496;0.026
2022-07-01 02:06:59;11.620;0.022
2022-07-28 02:06:56;12.148;0.005
2022-08-24 02:06:52;12.477;0.014
2022-09-20 02:06:56;12.335;0.007
2022-10-17 02:06:55;10.040;0.010
2022-11-13 02:06:53;9.555;0.009
2022-12-10 02:06:50;8.750;0.042
2023-01-06 02:06:53;3.301;0.127
2023-02-02 02:06:56;3.779;0.308
2023-03-01 02:06:52;1.921;0.019
2023-03-28 02:06:58;2.382;0.006
2023-04-24 02:06:59;2.389;0.004
2023-05-21 02:06:58;4.337;0.033
2023-06-17 02:06:54;8.689;0.011
2023-07-14 02:06:53;11.115;0.004
2023-08-10 02:06:49;11.784;0.003
2023-09-06 02:06:50;10.903;0.018
2023-10-03 02:06:51;7.385;0.012
2023-10-30 02:06:52;5.266;0.016
2023-11-26 02:06:48;5.207;0.054
2023-12-23 02:06:53;3.033;0.120
2024-01-19 02:06:54;2.551;0.001
2024-02-15 02:06:54;1.780;0.011
2024-03-13 02:06:53;1.753;0.062
2024-04-09 02:06:57;1.727;0.070
2024-05-06 02:06:59;2.468;0.005
2024-06-02 02:06:59;6.623;0.018
2024-06-29 02:06:59;10.000;0.010
2024-07-26 02:06:55;11.970;0.007
2024-08-22 02:06:52;12.330;0.035
2024-09-18 02:06:51;10.139;0.012
2024-10-15 02:06:55;6.843;0.003
2024-11-11 02:06:52;4.880;0.026
2024-12-08 02:06:51;5.166;0.046
2025-01-04 02:06:52;3.110;0.134
2025-01-31 02:06:55;2.643;0.005
2025-02-27 02:06:54;2.055;0.005
2025-03-26 02:06:55;2.215;0.011
2025-04-22 02:07:00;4.307;0.072
2025-05-19 02:07:02;6.216;0.027
2025-06-15 02:07:02;9.488;0.005
2025-07-12 02:07:02;12.137;0.016
2025-08-08 02:07:01;13.379;0.003
2025-09-04 02:06:57;13.525;0.083
2025-10-01 02:07:02;12.088;0.009
2025-10-28 02:07:03;9.707;0.059
