datetime;wse;wse_u
2002-07-09 02:03:26;6.967;0.013
2002-08-13 02:03:26;8.248;0.079
2002-09-17 02:03:25;7.752;0.150
2002-10-22 02:03:27;5.886;0.106
2002-12-31 02:03:24;2.512;0.041
2003-02-04 02:03:24;1.534;0.004
2003-03-11 02:03:25;0.922;0.009
2003-06-24 02:03:29;5.578;0.091
2003-07-29 02:03:34;7.410;0.016
2003-09-02 02:03:37;8.242;0.087
2003-10-07 02:03:33;7.327;0.008
2003-11-11 02:03:30;6.121;0.024
2003-12-16 02:03:30;4.574;0.033
2004-01-20 02:03:29;3.704;0.023
2004-05-04 02:03:30;2.117;0.002
2004-06-08 02:03:36;5.681;0.006
2004-07-13 02:03:36;7.429;0.180
2004-08-17 02:03:33;8.271;0.025
2004-09-21 02:03:30;8.103;0.003
2004-10-26 02:03:36;7.189;0.095
2004-11-30 02:03:33;4.325;0.042
2005-01-04 02:03:27;3.794;0.021
2005-03-15 02:03:29;1.636;0.074
2005-04-19 02:03:36;1.522;0.001
2005-05-24 02:03:37;3.908;0.095
2005-06-28 02:03:38;5.962;0.153
2005-08-02 02:03:35;6.955;0.007
2005-09-06 02:03:31;7.545;0.015
2005-10-11 02:03:33;5.832;0.024
2005-11-15 02:03:33;4.181;0.022
2006-01-24 02:03:22;3.840;0.113
2006-02-28 02:03:23;2.712;0.206
2006-04-04 02:03:21;1.577;0.035
2006-05-09 02:03:28;2.549;0.095
2006-06-13 02:03:30;4.820;0.002
2006-07-18 02:03:34;8.105;0.117
2006-08-22 02:03:31;8.668;0.031
2006-09-26 02:03:29;7.699;0.010
2006-10-31 02:03:32;5.585;0.128
2007-02-13 02:03:26;1.544;0.053
2007-03-20 02:03:26;1.744;0.088
2007-04-24 02:03:27;2.123;0.071
2007-08-07 02:03:30;8.048;0.005
2007-09-11 02:03:26;8.349;0.003
2007-10-16 02:03:24;7.111;0.016
2007-12-25 02:03:22;1.662;0.248
2008-03-04 02:03:23;1.745;0.046
2008-04-08 02:03:23;1.946;0.157
2008-05-13 02:03:23;2.136;0.076
2008-07-22 02:03:24;7.032;0.000
2008-08-26 02:03:21;8.043;0.009
2008-09-30 02:03:21;7.412;0.006
2008-11-04 02:03:20;5.787;0.088
2009-03-24 02:03:20;1.614;0.137
2009-04-28 02:03:20;1.666;0.017
2009-06-02 02:03:22;2.436;0.034
2009-07-07 02:03:22;4.895;0.082
2009-08-11 02:03:22;6.993;0.000
2009-09-15 02:03:18;6.701;0.007
2009-10-20 02:03:16;5.173;0.129
2009-11-24 02:03:15;3.495;0.129
2009-12-29 02:03:16;1.710;0.091
2010-05-18 02:03:13;3.111;0.009
2010-06-22 02:03:12;6.262;0.084
2010-07-27 02:03:14;7.909;0.023
2010-08-31 02:03:14;8.608;0.017
2010-10-05 02:03:09;7.647;0.003
2013-04-04 10:08:23;1.024;0.040
2013-05-09 10:08:02;1.884;0.058
2013-06-13 10:07:41;4.931;0.009
2013-07-18 10:07:19;6.274;0.006
2013-08-22 10:07:21;7.467;0.002
2013-09-26 10:07:35;7.005;0.003
2013-10-31 10:07:35;5.680;0.012
2013-12-05 10:07:33;4.413;0.020
2014-01-09 10:07:32;3.193;0.086
2014-02-13 10:07:31;1.167;0.004
2014-04-24 10:07:25;1.723;0.054
2014-05-29 10:07:23;2.336;0.001
2014-07-03 10:07:20;5.481;0.002
2014-08-07 10:07:15;7.421;0.008
2014-09-11 10:07:12;7.811;0.000
2014-10-16 10:07:10;6.309;0.007
2014-11-20 10:07:06;5.508;0.024
2014-12-25 10:07:03;2.267;0.036
2015-01-29 10:07:01;1.554;0.018
2015-03-05 10:07:00;1.445;0.022
2015-04-09 10:07:04;1.607;0.054
2015-05-14 10:06:42;2.544;0.003
2015-08-27 10:06:36;7.834;0.002
2015-10-01 10:06:34;7.046;0.000
2015-11-05 10:06:32;3.565;0.010
2015-12-10 10:06:22;4.140;0.017
2016-01-14 10:06:11;1.955;0.012
2016-02-18 10:06:11;1.222;0.034
2016-03-24 10:06:06;1.221;0.030
2016-04-28 10:06:03;1.915;0.029
