datetime;wse;wse_u
2018-12-19 02:12:01;11.741;0.018
2019-02-11 02:12:03;8.897;0.170
2019-03-10 02:12:08;8.360;0.047
2019-04-06 02:12:10;8.029;0.026
2019-05-03 02:12:09;9.984;0.015
2019-05-30 02:12:05;13.978;0.025
2019-06-26 02:12:03;16.791;0.020
2019-07-23 02:12:06;19.552;0.032
2019-08-19 02:12:05;20.867;0.003
2019-09-15 02:12:04;20.527;0.010
2019-10-12 02:12:02;17.453;0.006
2019-11-08 02:12:04;16.211;0.008
2020-01-28 02:12:03;9.881;0.015
2020-02-24 02:12:04;8.176;0.003
2020-04-18 02:12:08;8.083;0.006
2020-05-15 02:12:12;9.800;0.040
2020-06-11 02:12:15;13.908;0.008
2020-07-08 02:12:17;16.316;0.007
2020-08-04 02:12:17;18.657;0.001
2020-08-31 02:12:16;18.514;0.010
2020-09-27 02:12:13;16.370;0.023
2020-10-24 02:12:15;15.849;0.067
2020-12-17 02:12:16;14.849;0.007
2021-01-13 02:12:17;12.880;0.196
2021-02-09 02:12:13;10.201;0.017
2021-04-04 02:12:16;10.118;0.002
2021-05-01 02:12:18;13.279;0.022
2021-05-28 02:12:21;16.162;0.009
2021-06-24 02:12:25;18.998;0.026
2021-07-21 02:12:26;20.147;0.015
2021-08-17 02:12:28;21.621;0.004
2021-09-13 02:12:27;20.935;0.007
2021-10-10 02:12:22;19.126;0.012
2021-11-06 02:12:23;17.131;0.001
2021-12-30 02:12:24;11.666;0.170
2022-01-26 02:12:20;9.839;0.039
2022-03-21 02:12:22;10.294;0.019
2022-04-17 02:12:24;10.704;0.024
2022-05-14 02:12:30;13.600;0.075
2022-07-07 02:12:35;19.760;0.012
2022-08-03 02:12:36;21.085;0.020
2022-08-30 02:12:37;21.371;0.030
2022-09-26 02:12:33;20.278;0.010
2022-10-23 02:12:34;17.316;0.005
2022-11-19 02:12:36;16.920;0.031
2022-12-16 02:12:36;14.212;0.456
2023-01-12 02:12:32;10.988;0.007
2023-02-08 02:12:36;9.952;0.103
2023-04-03 02:12:33;9.221;0.064
2023-04-30 02:12:38;10.662;0.046
2023-05-27 02:12:41;13.401;0.020
2023-06-23 02:12:43;17.294;0.010
2023-07-20 02:12:46;19.059;0.024
2023-08-16 02:12:47;20.280;0.003
2023-09-12 02:12:43;18.629;0.011
2023-10-09 02:12:44;14.462;0.006
2023-11-05 02:12:48;13.061;0.000
2023-12-02 02:12:47;12.355;0.347
2023-12-29 02:12:45;10.344;0.020
2024-02-21 02:12:46;8.963;0.054
2024-03-19 02:12:44;9.391;0.171
2024-05-12 02:12:53;11.574;0.001
2024-06-08 02:12:58;16.663;0.013
2024-07-05 02:12:58;19.436;0.008
2024-08-01 02:13:00;21.997;0.011
2024-08-28 02:13:00;20.905;0.088
2024-09-24 02:12:56;18.123;0.011
2024-11-17 02:12:58;13.352;0.056
2024-12-14 02:12:58;12.702;0.139
2025-01-10 02:12:55;12.432;0.002
2025-02-06 02:12:54;10.133;0.011
2025-03-05 02:12:59;9.989;0.000
2025-04-01 02:12:56;10.621;0.006
2025-04-28 02:12:57;12.965;0.083
2025-05-25 02:13:04;15.767;0.012
2025-06-21 02:13:08;19.371;0.005
2025-07-18 02:13:11;22.062;0.084
2025-10-07 02:13:07;20.395;0.005
2025-11-03 02:13:12;17.470;0.031
2025-11-30 02:13:14;15.540;0.018
