datetime;wse;wse_u
2016-05-20 01:59:10;1.086;0.066
2016-06-16 01:59:11;0.740;0.003
2016-07-13 01:59:11;1.406;0.018
2016-08-09 01:59:10;2.084;0.056
2016-09-05 01:59:09;2.291;0.115
2016-10-02 01:59:14;1.929;0.041
2016-10-29 01:59:11;1.232;0.004
2016-11-25 01:59:09;1.008;0.043
2016-12-22 01:59:09;0.435;0.035
2017-01-18 01:59:11;1.176;0.014
2017-02-14 01:59:11;1.061;0.027
2017-03-13 01:59:09;0.848;0.066
2017-04-09 01:59:14;0.555;0.068
2017-06-02 01:59:21;0.926;0.020
2017-06-29 01:59:19;1.648;0.001
2017-07-26 01:59:17;2.010;0.010
2017-08-22 01:59:14;2.310;0.024
2017-09-18 01:59:13;1.963;0.084
2017-10-15 01:59:16;1.196;0.036
2017-11-11 01:59:17;1.465;0.076
2017-12-08 01:59:13;1.416;0.039
2018-01-04 01:59:17;1.312;0.041
2018-01-31 01:59:19;0.675;0.037
2018-04-22 01:59:21;1.012;0.142
2018-05-19 01:59:21;1.370;0.009
2018-06-15 01:59:22;1.457;0.049
2018-07-12 01:59:21;1.931;0.017
2018-08-08 01:59:18;2.053;0.007
2018-09-04 01:59:16;2.221;0.001
2018-10-01 01:59:21;2.376;0.028
2018-10-28 01:59:22;1.752;0.012
2018-11-24 01:59:20;1.309;0.021
2018-12-21 01:59:16;0.424;0.010
2019-02-13 01:59:21;0.675;0.044
2019-03-12 01:59:18;1.000;0.062
2019-04-08 01:59:23;0.914;0.033
2019-05-05 01:59:26;0.836;0.008
2019-06-01 01:59:26;0.787;0.009
2019-06-28 01:59:26;0.876;0.019
2019-07-25 01:59:25;1.597;0.017
2019-08-21 01:59:21;2.222;0.081
2019-09-17 01:59:23;1.980;0.003
2019-10-14 01:59:24;1.496;0.006
2019-11-10 01:59:23;0.927;0.042
2019-12-07 01:59:19;0.718;0.075
2020-02-26 01:59:22;1.050;0.039
2020-03-24 01:59:24;0.583;0.064
2020-04-20 01:59:29;0.319;0.050
2020-06-13 01:59:28;0.754;0.020
2020-07-10 01:59:29;1.412;0.018
2020-08-06 01:59:28;1.743;0.009
2020-09-02 01:59:24;2.016;0.013
2020-09-29 01:59:27;0.977;0.032
2020-10-26 01:59:28;0.648;0.004
2020-11-22 01:59:24;1.188;0.051
2020-12-19 01:59:21;1.391;0.037
2021-01-15 01:59:28;1.324;0.015
2021-02-11 01:59:29;0.466;0.003
2021-05-03 01:59:34;0.910;0.001
2021-05-30 01:59:33;1.673;0.010
2021-06-26 01:59:35;1.779;0.027
2021-07-23 01:59:34;1.744;0.046
2021-08-19 01:59:31;1.968;0.036
2021-09-15 01:59:30;1.920;0.062
2021-10-12 01:59:33;1.790;0.018
2021-11-08 01:59:31;1.680;0.036
2021-12-05 01:59:30;1.265;0.070
2022-01-01 01:59:31;0.494;0.021
2022-02-24 01:59:33;0.811;0.064
2022-03-23 01:59:34;1.319;0.051
2022-04-19 01:59:36;1.350;0.062
2022-05-16 01:59:35;1.327;0.020
2022-06-12 01:59:34;1.400;0.051
2022-07-09 01:59:33;1.693;0.011
2022-08-05 01:59:30;2.037;0.011
2022-09-01 01:59:28;2.160;0.029
2022-09-28 01:59:30;2.259;0.002
2022-10-25 01:59:30;1.322;0.068
2022-11-21 01:59:26;1.343;0.082
2022-12-18 01:59:26;0.668;0.015
2023-01-14 01:59:28;1.032;0.023
2023-02-10 01:59:30;1.280;0.039
2023-03-09 01:59:29;0.713;0.061
2023-04-05 01:59:32;0.523;0.018
2023-05-02 01:59:34;0.345;0.040
2023-05-29 01:59:33;0.276;0.031
2023-06-25 01:59:29;1.609;0.007
2023-07-22 01:59:26;1.943;0.056
2023-08-18 01:59:22;1.926;0.022
2023-09-14 01:59:26;1.796;0.009
2023-10-11 01:59:26;0.828;0.007
2023-11-07 01:59:25;0.538;0.076
2023-12-04 01:59:23;1.239;0.054
2023-12-31 01:59:28;1.194;0.029
2024-01-27 01:59:28;0.608;0.008
2024-02-23 01:59:28;0.507;0.009
2024-06-10 01:59:35;1.521;0.070
2024-07-07 01:59:32;1.753;0.014
2024-08-03 01:59:30;1.835;0.011
2024-08-30 01:59:26;1.594;0.034
2024-09-26 01:59:29;1.244;0.004
2024-10-23 01:59:30;1.315;0.030
2024-11-19 01:59:28;1.478;0.001
2024-12-16 01:59:24;0.675;0.015
2025-01-12 01:59:29;0.472;0.042
2025-03-07 01:59:29;0.542;0.014
2025-04-03 01:59:32;1.297;0.003
2025-04-30 01:59:36;1.287;0.415
2025-05-27 01:59:38;1.444;0.010
2025-06-23 01:59:38;1.281;0.024
2025-07-20 01:59:38;1.845;0.017
2025-08-16 01:59:36;2.171;0.021
2025-09-12 01:59:33;2.304;0.009
2025-10-09 01:59:36;2.070;0.072
2025-11-05 01:59:38;1.107;0.027
2025-12-02 01:59:35;0.940;0.038
