datetime;wse;wse_u
2018-12-11 02:19:22;25.669;0.004
2019-03-02 02:19:29;23.534;0.098
2019-03-29 02:19:32;23.256;0.014
2019-04-25 02:19:32;22.784;0.142
2019-05-22 02:19:29;26.091;0.002
2019-06-18 02:19:24;28.944;0.032
2019-07-15 02:19:27;31.878;0.012
2019-08-11 02:19:28;32.688;0.002
2019-09-07 02:19:27;32.965;0.010
2019-10-04 02:19:25;30.763;0.003
2019-10-31 02:19:25;28.986;0.003
2019-11-27 02:19:28;27.309;0.116
2019-12-24 02:19:28;25.865;0.238
2020-01-20 02:19:26;23.400;0.071
2020-02-16 02:19:25;23.613;0.038
2020-03-14 02:19:29;23.274;0.046
2020-04-10 02:19:29;23.282;0.009
2020-05-07 02:19:33;22.455;0.010
2020-06-03 02:19:36;26.374;0.007
2020-06-30 02:19:39;28.745;0.011
2020-07-27 02:19:39;30.798;0.009
2020-08-23 02:19:39;30.921;0.001
2020-09-19 02:19:37;29.721;0.022
2020-10-16 02:19:36;28.492;0.056
2020-11-12 02:19:40;27.893;0.010
2020-12-09 02:19:40;27.720;0.023
2021-01-05 02:19:39;25.246;0.017
2021-02-01 02:19:35;23.948;0.128
2021-03-27 02:19:39;23.220;0.272
2021-04-23 02:19:38;26.011;0.011
2021-05-20 02:19:41;28.475;0.016
2021-06-16 02:19:47;31.016;0.017
2021-07-13 02:19:48;32.198;0.021
2021-08-09 02:19:50;33.250;0.009
2021-09-05 02:19:50;33.145;0.007
2021-10-02 02:19:46;31.957;0.005
2021-10-29 02:19:44;29.781;0.007
2021-11-25 02:19:46;26.851;0.001
2021-12-22 02:19:47;24.517;0.028
2022-03-13 02:19:44;22.778;0.054
2022-04-09 02:19:45;23.476;0.122
2022-05-06 02:19:50;25.395;0.006
2022-06-02 02:19:55;29.124;0.014
2022-06-29 02:19:56;31.323;0.001
2022-07-26 02:19:59;32.814;0.008
2022-08-22 02:19:59;33.297;0.002
2022-09-18 02:19:56;32.572;0.001
2022-10-15 02:19:55;30.035;0.005
2022-11-11 02:19:59;29.410;0.029
2022-12-08 02:19:59;28.257;0.021
2023-01-04 02:19:57;24.073;0.224
2023-01-31 02:19:56;23.272;0.146
2023-03-26 02:19:57;22.779;0.013
2023-04-22 02:19:58;22.825;0.002
2023-05-19 02:20:03;25.061;0.013
2023-06-15 02:20:05;28.933;0.003
2023-07-12 02:20:08;30.859;0.005
2023-08-08 02:20:08;32.268;0.003
2023-09-04 02:20:06;31.757;0.012
2023-10-01 02:20:05;27.932;0.002
2023-10-28 02:20:10;25.775;0.003
2023-11-24 02:20:10;25.895;0.019
2023-12-21 02:20:09;23.406;0.070
2024-01-17 02:20:02;23.079;0.045
2024-02-13 02:20:08;23.078;0.150
2024-03-11 02:20:09;22.803;0.055
2024-04-07 02:20:09;23.020;0.028
2024-05-04 02:20:14;22.999;0.014
2024-05-31 02:20:18;28.369;0.003
2024-06-27 02:20:20;31.747;0.003
2024-07-24 02:20:21;33.414;0.004
2024-08-20 02:20:20;33.372;0.001
2024-09-16 02:20:19;31.056;0.004
2024-10-13 02:20:17;27.628;0.007
2024-11-09 02:20:20;25.953;0.019
2024-12-06 02:20:20;26.461;0.027
2025-01-02 02:20:18;24.454;0.009
2025-01-29 02:20:15;23.755;0.006
2025-03-24 02:20:20;23.141;0.030
2025-04-20 02:20:20;25.815;0.041
2025-05-17 02:20:25;27.700;0.012
2025-06-13 02:20:29;31.435;0.017
2025-07-10 02:20:33;33.898;0.006
2025-09-29 02:20:32;33.172;0.017
2025-10-26 02:20:33;30.371;0.014
2025-11-22 02:20:35;28.264;0.037
