datetime;wse;wse_u
2018-11-27 14:14:45;4.812;0.010
2018-12-24 14:14:46;2.635;0.001
2019-01-20 14:14:48;1.568;0.023
2019-02-16 14:14:48;1.475;0.031
2019-04-11 14:14:54;1.485;0.205
2019-05-08 14:14:53;2.432;0.009
2019-06-04 14:14:47;4.518;0.018
2019-07-01 14:14:47;7.088;0.007
2019-07-28 14:14:49;8.884;0.035
2019-08-24 14:14:49;9.973;0.008
2019-09-20 14:14:48;9.447;0.016
2019-10-17 14:14:44;7.069;0.002
2019-11-13 14:14:49;5.823;0.016
2019-12-10 14:14:50;4.180;0.028
2020-01-06 14:14:49;3.026;0.025
2020-02-02 14:14:46;1.791;0.032
2020-04-23 14:14:53;1.637;0.050
2020-05-20 14:14:56;2.589;0.004
2020-06-16 14:14:59;4.852;0.018
2020-07-13 14:15:00;6.721;0.026
2020-08-09 14:15:01;8.472;0.030
2020-09-05 14:15:00;8.190;0.016
2020-10-02 14:14:56;6.000;0.024
2020-10-29 14:15:00;5.599;0.006
2020-11-25 14:15:02;5.688;0.012
2020-12-22 14:15:01;5.070;0.006
2021-01-18 14:15:00;3.551;0.021
2021-02-14 14:14:58;1.883;0.011
2021-03-13 14:15:00;1.625;0.003
2021-04-09 14:14:59;2.309;0.007
2021-05-06 14:15:02;5.089;0.011
2021-06-02 14:15:06;7.374;0.030
2021-06-29 14:15:10;8.823;0.014
2021-07-26 14:15:10;9.500;0.017
2021-09-18 14:15:10;9.431;0.042
2021-10-15 14:15:05;8.572;0.025
2021-11-11 14:15:07;6.531;0.047
2021-12-08 14:15:07;4.344;0.045
2022-01-04 14:15:07;2.954;0.008
2022-01-31 14:15:03;1.564;0.012
2022-02-27 14:15:06;1.640;0.014
2022-03-26 14:15:06;2.701;0.034
2022-04-22 14:15:09;3.174;0.025
2022-05-19 14:15:14;5.571;0.005
2022-06-15 14:15:18;7.398;0.012
2022-07-12 14:15:20;9.515;0.025
2022-10-01 14:15:16;8.892;0.077
2022-10-28 14:15:19;6.968;0.006
2022-11-24 14:15:19;7.266;0.045
2022-12-21 14:15:19;4.671;0.022
2023-01-17 14:15:16;3.328;0.020
2023-02-13 14:15:20;1.782;0.014
2023-03-12 14:15:19;1.571;0.017
2023-04-08 14:15:17;1.785;0.000
2023-05-05 14:15:22;2.830;0.007
2023-06-01 14:15:25;4.849;0.004
2023-06-28 14:15:26;8.118;0.069
2023-07-25 14:15:28;8.726;0.005
2023-08-21 14:15:30;9.205;0.026
2023-09-17 14:15:25;7.751;0.023
2023-10-14 14:15:28;4.710;0.001
2023-11-10 14:15:31;4.142;0.005
2023-12-07 14:15:28;3.176;0.046
2024-01-03 14:15:26;2.203;0.007
2024-01-30 14:15:27;1.657;0.024
2024-02-26 14:15:30;1.646;0.009
2024-03-24 14:15:28;1.508;0.077
2024-04-20 14:15:32;2.356;0.013
2024-05-17 14:15:36;4.003;0.109
2024-06-13 14:15:41;7.115;0.015
2024-07-10 14:15:41;8.926;0.068
2024-09-02 14:15:43;9.740;0.025
2024-09-29 14:15:39;7.330;0.003
2024-10-26 14:15:41;5.225;0.037
2024-11-22 14:15:44;4.270;0.008
2024-12-19 14:15:40;3.882;0.007
2025-01-15 14:15:40;3.443;0.079
2025-02-11 14:15:41;2.515;0.005
2025-03-10 14:15:43;2.299;0.004
2025-04-06 14:15:41;2.882;0.012
2025-05-03 14:15:43;4.108;0.012
2025-05-30 14:15:49;6.459;0.013
2025-06-26 14:15:52;8.994;0.079
2025-09-15 14:15:54;8.951;0.101
2025-10-12 14:15:53;9.547;0.004
2025-11-08 14:15:56;6.993;0.038
