datetime;wse;wse_u
2018-12-16 14:22:22;12.793;0.046
2019-01-12 14:22:25;10.149;0.015
2019-02-08 14:22:25;9.027;0.028
2019-03-07 14:22:29;8.196;0.010
2019-04-03 14:22:31;8.556;0.014
2019-04-30 14:22:31;9.959;0.049
2019-05-27 14:22:27;14.391;0.032
2019-06-23 14:22:24;17.252;0.014
2019-08-16 14:22:27;21.122;0.020
2019-10-09 14:22:24;18.652;0.046
2019-11-05 14:22:25;16.853;0.008
2019-12-02 14:22:27;14.944;0.062
2019-12-29 14:22:27;13.205;0.000
2020-01-25 14:22:24;10.556;0.031
2020-02-21 14:22:25;8.896;0.086
2020-03-19 14:22:28;8.018;0.199
2020-05-12 14:22:33;9.861;0.001
2020-06-08 14:22:36;14.505;0.051
2020-07-05 14:22:38;16.861;0.108
2020-08-01 14:22:38;19.174;0.043
2020-08-28 14:22:38;19.137;0.097
2020-09-24 14:22:35;17.539;0.097
2020-10-21 14:22:36;16.473;0.181
2020-11-17 14:22:39;16.022;0.004
2020-12-14 14:22:38;15.766;0.033
2021-01-10 14:22:38;13.666;0.051
2021-02-06 14:22:34;10.786;0.046
2021-03-05 14:22:38;9.620;0.122
2021-04-01 14:22:37;10.610;0.034
2021-04-28 14:22:38;13.877;0.070
2021-05-25 14:22:42;16.801;0.053
2021-06-21 14:22:47;19.416;0.016
2021-08-14 14:22:49;22.148;0.009
2021-09-10 14:22:48;21.614;0.284
2021-11-03 14:22:44;17.783;0.407
2021-11-30 14:22:44;14.820;0.160
2021-12-27 14:22:45;12.954;0.057
2022-01-23 14:22:42;9.758;0.034
2022-02-19 14:22:43;8.695;0.017
2022-04-14 14:22:45;11.351;0.010
2022-05-11 14:22:51;14.191;0.028
2022-07-04 14:22:56;19.623;0.102
2022-08-27 14:22:58;21.934;0.009
2022-10-20 14:22:54;18.366;0.092
2022-11-16 14:22:57;17.889;0.093
2022-12-13 14:22:58;15.850;0.035
2023-01-09 14:22:55;11.658;0.026
2023-02-05 14:22:57;10.041;0.258
2023-03-04 14:22:56;9.246;0.015
2023-03-31 14:22:55;9.684;0.045
2023-04-27 14:22:59;10.605;0.155
2023-05-24 14:23:02;13.923;0.018
2023-06-20 14:23:05;17.443;0.249
2023-07-17 14:23:07;19.507;0.071
2023-08-13 14:23:07;20.931;0.119
2023-10-06 14:23:06;15.721;0.183
2023-11-02 14:23:09;14.063;0.033
2023-11-29 14:23:09;13.380;0.048
2023-12-26 14:23:07;10.736;0.018
2024-01-22 14:23:03;10.017;0.082
2024-02-18 14:23:08;8.998;0.057
2024-03-16 14:23:06;8.042;0.040
2024-04-12 14:23:09;9.095;0.005
2024-05-09 14:23:14;11.356;0.025
2024-06-05 14:23:19;16.856;0.011
2024-07-29 14:23:20;22.672;0.082
2024-09-21 14:23:17;19.030;0.351
2024-10-18 14:23:17;15.830;0.053
2024-11-14 14:23:19;13.851;0.105
2024-12-11 14:23:19;14.072;0.034
2025-01-07 14:23:16;12.632;0.054
2025-02-03 14:23:15;10.688;0.081
2025-03-02 14:23:19;9.493;0.073
2025-03-29 14:23:18;10.966;0.029
2025-05-22 14:23:25;16.433;0.081
2025-10-31 14:23:33;18.173;0.149
2025-11-27 14:23:35;16.300;0.083
