datetime;wse;wse_u
2018-12-16 14:22:25;14.366;0.001
2019-01-12 14:22:28;10.929;0.083
2019-04-30 14:22:34;11.497;0.033
2019-05-27 14:22:30;16.448;0.010
2019-06-23 14:22:27;19.477;0.037
2019-07-20 14:22:30;22.210;0.003
2019-08-16 14:22:30;23.598;0.018
2019-09-12 14:22:29;23.536;0.083
2019-10-09 14:22:27;20.552;0.009
2019-11-05 14:22:29;18.825;0.006
2019-12-29 14:22:30;14.800;0.029
2020-01-25 14:22:28;12.129;0.032
2020-02-21 14:22:29;10.284;0.026
2020-03-19 14:22:31;9.382;0.008
2020-04-15 14:22:32;9.653;0.175
2020-05-12 14:22:36;10.307;0.186
2020-06-08 14:22:39;16.440;0.003
2020-07-05 14:22:41;18.875;0.165
2020-08-01 14:22:41;21.134;0.079
2020-08-28 14:22:41;21.139;0.133
2020-09-24 14:22:39;19.436;0.036
2020-10-21 14:22:40;18.429;0.003
2020-11-17 14:22:43;17.832;0.018
2020-12-14 14:22:41;17.575;0.001
2021-01-10 14:22:42;14.829;0.009
2021-03-05 14:22:41;10.451;0.221
2021-04-01 14:22:41;12.053;0.178
2021-04-28 14:22:42;15.669;0.045
2021-05-25 14:22:45;18.590;0.150
2021-06-21 14:22:50;21.516;0.101
2021-07-18 14:22:50;22.622;0.004
2021-08-14 14:22:53;24.291;0.142
2021-09-10 14:22:52;23.998;0.055
2021-11-03 14:22:48;19.619;0.334
2021-11-30 14:22:47;16.427;0.001
2021-12-27 14:22:49;14.423;0.016
2022-01-23 14:22:45;10.218;0.394
2022-02-19 14:22:47;10.327;0.113
2022-03-18 14:22:47;10.122;0.879
2022-04-14 14:22:49;12.459;0.006
2022-05-11 14:22:54;15.601;0.030
2022-06-07 14:22:58;19.042;0.067
2022-07-04 14:22:59;22.433;0.036
2022-07-31 14:23:01;23.945;0.055
2022-08-27 14:23:02;24.378;0.012
2022-09-23 14:22:58;23.311;0.012
2022-10-20 14:22:58;20.059;0.055
2022-11-16 14:23:01;19.837;0.002
2022-12-13 14:23:01;17.579;0.062
2023-01-09 14:22:58;13.250;0.010
2023-02-05 14:23:00;12.002;0.065
2023-03-04 14:23:00;11.099;0.896
2023-03-31 14:22:59;11.325;0.038
2023-05-24 14:23:06;15.697;0.057
2023-06-20 14:23:08;19.692;0.019
2023-08-13 14:23:11;22.950;0.058
2023-11-02 14:23:12;15.792;0.029
2023-11-29 14:23:12;14.925;0.022
2023-12-26 14:23:10;12.301;0.050
2024-02-18 14:23:11;10.423;0.202
2024-03-16 14:23:10;9.483;0.038
2024-04-12 14:23:12;9.273;0.583
2024-05-09 14:23:18;13.070;0.007
2024-06-05 14:23:22;18.822;0.043
2024-07-02 14:23:23;22.192;0.028
2024-07-29 14:23:24;23.693;0.576
2024-08-25 14:23:24;24.052;0.055
2024-09-21 14:23:21;21.159;0.034
2024-10-18 14:23:21;17.533;0.045
2024-11-14 14:23:22;15.600;0.045
2024-12-11 14:23:23;15.714;0.024
2025-01-07 14:23:20;14.344;0.891
2025-02-03 14:23:19;12.396;0.111
2025-03-29 14:23:21;11.336;0.857
2025-04-25 14:23:22;15.329;0.015
2025-06-18 14:23:33;21.871;0.119
2025-10-04 14:23:32;23.692;0.015
2025-10-31 14:23:37;20.487;0.048
2025-11-27 14:23:39;17.495;0.035
