datetime;wse;wse_u
2018-12-07 02:22:59;32.724;0.004
2019-01-03 02:23:01;29.718;0.069
2019-01-30 02:23:02;28.601;0.005
2019-02-26 02:23:04;27.597;0.026
2019-03-25 02:23:07;27.871;0.003
2019-04-21 02:23:08;28.519;0.005
2019-05-18 02:23:05;32.801;0.000
2019-06-14 02:23:00;35.616;0.001
2019-07-11 02:23:03;38.228;0.000
2019-08-07 02:23:04;38.607;0.001
2019-09-03 02:23:02;38.709;0.004
2019-09-30 02:23:01;36.865;0.004
2019-10-27 02:23:00;35.353;0.003
2019-11-23 02:23:04;34.145;0.002
2019-12-20 02:23:03;32.101;0.034
2020-01-16 02:23:02;30.604;0.009
2020-02-12 02:23:00;28.880;0.013
2020-03-10 02:23:04;27.800;0.028
2020-04-06 02:23:05;27.270;0.063
2020-05-03 02:23:09;29.344;0.002
2020-05-30 02:23:11;33.169;0.000
2020-06-26 02:23:14;35.616;0.011
2020-07-23 02:23:15;37.493;0.010
2020-08-19 02:23:15;37.090;0.010
2020-09-15 02:23:13;36.048;0.003
2020-10-12 02:23:10;34.783;0.020
2020-12-05 02:23:16;34.020;0.002
2021-01-01 02:23:15;32.268;0.003
2021-01-28 02:23:12;30.644;0.007
2021-02-24 02:23:13;29.129;0.009
2021-03-23 02:23:14;29.329;0.002
2021-04-19 02:23:13;32.562;0.004
2021-05-16 02:23:17;35.140;0.014
2021-06-12 02:23:22;37.676;0.001
2021-07-09 02:23:24;38.436;0.006
2021-08-05 02:23:25;39.056;0.005
2021-09-01 02:23:26;38.583;0.003
2021-09-28 02:23:22;37.827;0.002
2021-10-25 02:23:19;35.960;0.001
2021-11-21 02:23:21;33.816;0.001
2021-12-18 02:23:22;31.846;0.004
2022-01-14 02:23:19;29.821;0.011
2022-02-10 02:23:18;28.469;0.014
2022-03-09 02:23:20;29.143;0.021
2022-04-05 02:23:20;30.693;0.023
2022-05-02 02:23:25;32.174;0.002
2022-05-29 02:23:29;36.010;0.008
2022-06-25 02:23:32;37.753;0.011
2022-07-22 02:23:35;38.827;0.003
2022-08-18 02:23:34;38.888;0.002
2022-09-14 02:23:33;38.261;0.001
2022-10-11 02:23:30;36.051;0.001
2022-11-07 02:23:35;35.502;0.002
2022-12-04 02:23:35;34.756;0.000
2022-12-31 02:23:33;30.917;0.086
2023-01-27 02:23:30;30.760;0.020
2023-02-23 02:23:34;29.222;0.007
2023-03-22 02:23:32;29.765;0.007
2023-04-18 02:23:33;29.679;0.014
2023-05-15 02:23:37;31.737;0.001
2023-06-11 02:23:40;35.624;0.010
2023-07-08 02:23:43;37.147;0.002
2023-08-04 02:23:43;38.391;0.002
2023-08-31 02:23:42;37.870;0.004
2023-09-27 02:23:39;34.298;0.004
2023-10-24 02:23:45;32.188;0.004
2023-11-20 02:23:45;32.798;0.003
2023-12-17 02:23:44;30.731;0.010
2024-02-09 02:23:43;28.610;0.022
2024-03-07 02:23:45;28.222;0.007
2024-04-03 02:23:43;27.898;0.414
2024-04-30 02:23:49;29.958;0.042
2024-05-27 02:23:52;35.100;0.001
2024-06-23 02:23:55;38.296;0.005
2024-07-20 02:23:58;39.339;0.001
2024-08-16 02:23:56;38.793;0.001
2024-09-12 02:23:54;36.962;0.003
2024-10-09 02:23:51;34.228;0.013
2024-11-05 02:23:57;32.561;0.010
2024-12-02 02:23:57;33.492;0.005
2024-12-29 02:23:55;31.235;0.010
2025-01-25 02:23:52;30.638;0.024
2025-02-21 02:23:56;29.377;0.003
2025-03-20 02:23:55;29.810;0.011
2025-04-16 02:23:55;32.623;0.001
2025-05-13 02:24:00;34.529;0.005
2025-06-09 02:24:03;38.165;0.035
2025-07-06 02:24:09;39.746;0.003
2025-08-02 02:24:09;40.284;0.004
2025-08-29 02:24:11;39.633;0.002
2025-09-25 02:24:09;38.785;0.008
2025-10-22 02:24:08;36.538;0.002
2025-11-18 02:24:11;35.175;0.006
