datetime;wse;wse_u
2016-05-23 02:21:20;31.362;0.005
2016-06-19 02:21:21;33.546;0.039
2016-07-16 02:21:20;35.686;0.006
2016-08-12 02:21:19;36.596;0.018
2016-09-08 02:21:19;35.680;0.008
2016-10-05 02:21:24;34.337;0.008
2016-11-01 02:21:20;32.079;0.016
2016-11-28 02:21:18;30.604;0.038
2017-01-21 02:21:21;28.044;0.012
2017-02-17 02:21:20;26.191;0.020
2017-03-16 02:21:19;25.710;0.013
2017-04-12 02:21:24;27.125;0.001
2017-05-09 02:21:27;29.292;0.008
2017-06-05 02:21:30;31.410;0.038
2017-07-02 02:21:28;34.352;0.037
2017-07-29 02:21:26;36.050;0.005
2017-08-25 02:21:23;35.955;0.011
2017-09-21 02:21:22;33.621;0.009
2017-10-18 02:21:26;32.638;0.009
2017-11-14 02:21:26;31.863;0.004
2017-12-11 02:21:22;28.950;0.005
2018-01-07 02:21:26;26.378;0.008
2018-02-03 02:21:28;26.415;0.005
2018-03-02 02:21:27;24.503;0.009
2018-03-29 02:21:27;24.178;0.001
2018-04-25 02:21:30;27.046;0.002
2018-05-22 02:21:30;31.698;0.017
2018-06-18 02:21:32;33.892;0.010
2018-07-15 02:21:30;36.354;0.004
2018-09-07 02:21:26;37.168;0.013
2018-10-04 02:21:30;35.536;0.044
2018-10-31 02:21:31;32.713;0.038
2018-11-27 02:21:29;30.412;0.016
2018-12-24 02:21:26;27.338;0.004
2019-01-20 02:21:29;25.468;0.021
2019-02-16 02:21:30;25.246;0.045
2019-03-15 02:21:27;24.527;0.000
2019-04-11 02:21:33;25.279;0.003
2019-05-08 02:21:36;27.877;0.010
2019-06-04 02:21:35;31.245;0.005
2019-07-28 02:21:34;35.419;0.002
2019-08-24 02:21:30;35.904;0.002
2019-10-17 02:21:34;32.371;0.002
2019-11-13 02:21:32;31.515;0.006
2019-12-10 02:21:28;29.610;0.083
2020-01-06 02:21:31;28.245;0.061
2020-02-02 02:21:32;26.140;0.018
2020-02-29 02:21:31;24.604;0.042
2020-03-27 02:21:34;24.368;0.001
2020-04-23 02:21:38;25.727;0.005
2020-05-20 02:21:39;28.588;0.023
2020-06-16 02:21:37;31.090;0.020
2020-07-13 02:21:38;33.203;0.011
2020-08-09 02:21:37;34.420;0.005
2020-09-05 02:21:34;33.662;0.009
2020-10-02 02:21:37;31.788;0.009
2020-10-29 02:21:37;31.197;0.004
2020-12-22 02:21:32;29.797;0.039
2021-01-18 02:21:38;28.295;0.001
2021-03-13 02:21:35;25.430;0.010
2021-04-09 02:21:40;27.311;0.005
2021-05-06 02:21:43;30.247;0.026
2021-06-02 02:21:43;33.017;0.025
2021-07-26 02:21:43;35.417;0.004
2021-08-22 02:21:40;36.192;0.067
2021-10-15 02:21:42;34.146;0.011
2021-11-11 02:21:41;32.287;0.016
2021-12-08 02:21:40;29.425;0.059
2022-01-04 02:21:41;27.462;0.034
2022-01-31 02:21:45;25.456;0.015
2022-03-26 02:21:44;26.722;0.010
2022-04-22 02:21:46;27.529;0.013
2022-05-19 02:21:44;30.958;0.015
2022-06-15 02:21:43;33.625;0.035
2022-07-12 02:21:42;33.704;0.017
2022-08-08 02:21:39;36.006;0.017
2022-09-04 02:21:38;35.942;0.018
2022-10-01 02:21:39;34.363;0.009
2022-10-28 02:21:39;32.515;0.036
2022-11-24 02:21:35;32.025;0.003
2022-12-21 02:21:36;29.355;0.011
2023-01-17 02:21:37;26.897;0.012
2023-03-12 02:21:38;25.190;0.038
2023-04-08 02:21:43;25.486;0.032
2023-05-05 02:21:43;28.327;0.018
2023-06-01 02:21:42;30.831;0.013
2023-06-28 02:21:38;33.222;0.003
2023-08-21 02:21:32;35.251;0.003
2023-09-17 02:21:36;32.854;0.028
2023-10-14 02:21:35;29.566;0.006
2023-11-10 02:21:33;29.222;0.002
2023-12-07 02:21:33;28.140;0.043
2024-01-03 02:21:36;26.995;0.017
2024-01-30 02:21:38;25.334;0.004
2024-02-26 02:21:37;25.296;0.005
2024-03-24 02:21:40;24.550;0.001
2024-04-20 02:21:42;25.845;0.030
2024-05-17 02:21:43;29.534;0.017
2024-06-13 02:21:44;33.113;0.017
2024-08-06 02:21:39;36.037;0.036
2024-09-02 02:21:34;34.490;0.020
2024-09-29 02:21:39;31.629;0.026
2024-10-26 02:21:39;29.680;0.009
2024-11-22 02:21:37;28.651;0.018
2024-12-19 02:21:33;27.858;0.018
2025-01-15 02:21:39;27.882;0.023
2025-02-11 02:21:41;25.936;0.004
2025-03-10 02:21:38;25.581;0.021
2025-04-06 02:21:43;26.835;0.000
2025-05-03 02:21:46;29.357;0.015
2025-05-30 02:21:48;32.349;0.030
2025-06-26 02:21:48;34.319;0.066
2025-07-23 02:21:48;36.799;0.020
2025-08-19 02:21:45;37.290;0.017
2025-09-15 02:21:43;36.320;0.015
2025-10-12 02:21:46;33.976;0.004
