datetime;wse;wse_u
2002-06-11 14:12:54;3.699;0.004
2002-07-16 14:12:54;6.253;0.001
2002-08-20 14:12:52;7.055;0.001
2002-09-24 14:12:50;6.594;0.000
2002-10-29 14:12:55;4.241;0.000
2002-12-03 14:12:51;3.734;0.002
2003-01-07 14:12:50;2.683;0.012
2003-02-11 14:12:48;1.834;0.034
2003-04-22 14:12:55;1.188;0.020
2003-05-27 14:12:50;2.482;0.002
2003-07-01 14:12:56;4.991;0.000
2003-08-05 14:13:00;6.567;0.001
2003-09-09 14:13:03;6.992;0.000
2003-10-14 14:12:59;5.825;0.000
2003-11-18 14:12:56;4.897;0.001
2003-12-23 14:13:00;3.677;0.002
2004-01-27 14:12:56;2.648;0.002
2004-03-02 14:12:57;1.696;0.009
2004-04-06 14:12:57;1.581;0.023
2004-05-11 14:12:57;1.710;0.007
2004-06-15 14:13:02;4.922;0.001
2004-07-20 14:13:03;6.406;0.006
2004-08-24 14:13:00;6.998;0.001
2004-09-28 14:12:58;6.498;0.001
2004-11-02 14:13:01;5.060;0.001
2004-12-07 14:12:58;3.674;0.002
2005-01-11 14:12:55;2.874;0.004
2005-02-15 14:12:56;2.269;0.003
2005-03-22 14:12:56;1.688;0.005
2005-04-26 14:13:03;1.522;0.002
2005-05-31 14:13:03;3.272;0.005
2005-07-05 14:13:05;5.072;0.002
2005-08-09 14:13:00;5.871;0.001
2005-09-13 14:12:59;5.931;0.001
2005-10-18 14:13:01;4.480;0.000
2005-11-22 14:12:58;3.782;0.002
2005-12-27 14:12:51;3.463;0.001
2006-01-31 14:12:49;3.032;0.010
2006-03-07 14:12:49;2.468;0.008
2006-04-11 14:12:50;1.886;0.002
2006-05-16 14:12:55;1.961;0.012
2006-06-20 14:12:58;4.191;0.001
2006-07-25 14:13:00;7.137;0.000
2006-08-29 14:12:57;7.322;0.001
2006-10-03 14:12:57;5.820;0.000
2006-11-07 14:12:58;4.376;0.001
2006-12-12 14:12:57;3.819;0.007
2007-01-16 14:12:51;2.844;0.004
2007-02-20 14:12:53;1.933;0.017
2007-03-27 14:12:51;1.599;0.000
2007-05-01 14:12:54;1.637;0.025
2007-06-05 14:12:56;2.767;0.004
2007-07-10 14:12:56;5.510;0.005
2007-08-14 14:12:56;6.782;0.003
2007-09-18 14:12:51;6.869;0.001
2007-10-23 14:12:51;5.616;0.000
2007-11-27 14:12:47;4.077;0.004
2008-01-01 14:12:49;3.219;0.035
2008-02-05 14:12:48;2.328;0.003
2008-03-11 14:12:50;1.918;0.010
2008-04-15 14:12:48;1.613;0.017
2008-05-20 14:12:50;1.812;0.006
2008-06-24 14:12:51;3.417;0.004
2008-07-29 14:12:51;6.070;0.000
2008-09-02 14:12:47;6.839;0.002
2008-10-07 14:12:48;5.666;0.000
2008-11-11 14:12:46;4.181;0.001
2008-12-16 14:12:47;4.091;0.002
2009-01-20 14:12:45;3.287;0.000
2009-02-24 14:12:48;2.509;0.009
2009-03-31 14:12:45;1.984;0.003
2009-05-05 14:12:47;1.891;0.005
2009-06-09 14:12:49;2.211;0.006
2009-07-14 14:12:49;3.895;0.003
2009-08-18 14:12:48;5.944;0.008
2009-09-22 14:12:44;5.515;0.000
2009-10-27 14:12:43;3.950;0.001
2009-12-01 14:12:40;3.140;0.001
2010-01-05 14:12:42;2.239;0.005
2010-02-09 14:12:41;2.026;0.007
2010-03-16 14:12:42;1.739;0.007
2010-04-20 14:12:39;1.519;0.007
2010-05-25 14:12:39;2.970;0.001
2010-06-29 14:12:39;5.612;0.001
2010-08-03 14:12:41;6.737;0.000
2010-09-07 14:12:40;7.008;0.000
2010-10-12 14:12:34;5.431;0.001
2013-04-11 22:17:43;1.478;0.009
2013-05-16 22:17:23;2.227;0.002
2013-06-20 22:17:05;4.559;0.000
2013-07-25 22:16:42;5.272;0.000
2013-08-29 22:16:50;6.158;0.000
2013-10-03 22:17:03;5.488;0.000
2013-11-07 22:17:01;4.192;0.000
2013-12-12 22:16:58;3.392;0.000
2014-01-16 22:16:57;2.664;0.001
2014-02-20 22:16:57;2.162;0.000
2014-03-27 22:16:52;1.790;0.027
2014-05-01 22:16:52;1.470;0.012
2014-06-05 22:16:50;2.364;0.001
2014-07-10 22:16:44;4.711;0.000
2014-08-14 22:16:40;6.359;0.001
2014-09-18 22:16:39;6.404;0.000
2014-10-23 22:16:37;4.843;0.000
2014-11-27 22:16:33;4.174;0.000
2015-01-01 22:16:30;2.991;0.000
2015-02-05 22:16:28;2.043;0.003
2015-03-12 22:16:27;1.785;0.010
2015-04-16 22:16:28;1.657;0.000
2015-07-30 22:16:01;5.974;0.001
2015-09-03 22:16:03;6.557;0.000
2015-10-08 22:15:59;5.146;0.003
2015-11-12 22:15:59;3.275;0.002
2015-12-17 22:15:46;2.742;0.002
2016-01-21 22:15:38;1.982;0.003
2016-02-25 22:15:36;1.522;0.001
2016-03-31 22:15:36;1.170;0.001
2016-05-05 22:15:25;1.412;0.003
