datetime;wse;wse_u
2016-05-13 14:12:58;1.568;0.058
2016-06-09 14:12:59;3.203;0.026
2016-07-06 14:13:00;4.956;0.018
2016-08-02 14:12:59;6.404;0.020
2016-08-29 14:12:56;6.661;0.012
2016-09-25 14:13:02;6.201;0.024
2016-10-22 14:13:01;4.606;0.006
2016-11-18 14:12:58;3.568;0.026
2016-12-15 14:12:56;2.944;0.014
2017-01-11 14:12:59;2.621;0.008
2017-02-07 14:13:00;1.907;0.004
2017-03-06 14:12:58;2.009;0.051
2017-04-02 14:13:01;1.402;0.052
2017-04-29 14:13:04;1.502;0.037
2017-05-26 14:13:09;2.128;0.016
2017-06-22 14:13:08;4.151;0.030
2017-07-19 14:13:05;5.713;0.020
2017-08-15 14:13:03;6.927;0.018
2017-09-11 14:13:00;6.296;0.031
2017-10-08 14:13:04;4.625;0.001
2017-11-04 14:13:05;4.081;0.003
2017-12-01 14:13:02;3.222;0.004
2017-12-28 14:13:04;2.302;0.006
2018-01-24 14:13:07;1.824;0.031
2018-02-20 14:13:07;1.694;0.069
2018-03-19 14:13:04;1.947;0.012
2018-04-15 14:13:09;1.685;0.232
2018-05-12 14:13:10;1.629;0.025
2018-06-08 14:13:10;3.338;0.002
2018-07-05 14:13:10;6.191;0.034
2018-08-01 14:13:06;7.271;0.031
2018-08-28 14:13:03;7.557;0.003
2018-09-24 14:13:08;7.160;0.012
2018-10-21 14:13:10;5.424;0.007
2018-11-17 14:13:09;3.615;0.034
2018-12-14 14:13:05;2.639;0.030
2019-01-10 14:13:07;1.922;0.079
2019-02-06 14:13:09;1.976;0.254
2019-03-05 14:13:07;1.820;0.197
2019-04-01 14:13:10;1.474;0.190
2019-04-28 14:13:14;1.583;0.448
2019-05-25 14:13:15;1.576;0.002
2019-06-21 14:13:14;2.993;0.018
2019-07-18 14:13:13;5.282;0.007
2019-08-14 14:13:11;6.703;0.004
2019-09-10 14:13:10;6.434;0.020
2019-10-07 14:13:13;5.189;0.016
2019-11-03 14:13:12;3.907;0.003
2019-11-30 14:13:08;3.266;0.008
2019-12-27 14:13:09;2.625;0.015
2020-01-23 14:13:11;2.014;0.016
2020-02-19 14:13:11;1.758;0.034
2020-03-17 14:13:11;1.750;0.054
2020-04-13 14:13:16;1.523;0.131
2020-05-10 14:13:18;1.477;0.081
2020-06-06 14:13:17;1.730;0.035
2020-07-03 14:13:17;2.923;0.024
2020-07-30 14:13:16;4.744;0.014
2020-08-26 14:13:13;5.946;0.001
2020-09-22 14:13:15;4.602;0.005
2020-10-19 14:13:16;3.668;0.022
2020-11-15 14:13:14;3.325;0.020
2020-12-12 14:13:09;3.644;0.031
2021-01-08 14:13:15;2.804;0.023
2021-02-04 14:13:18;2.206;0.008
2021-03-03 14:13:16;2.146;0.035
2021-03-30 14:13:17;2.299;0.191
2021-04-26 14:13:22;2.113;0.031
2021-05-23 14:13:22;3.673;0.028
2021-06-19 14:13:23;5.596;0.022
2021-07-16 14:13:23;6.048;0.027
2021-08-12 14:13:19;6.963;0.032
2021-09-08 14:13:17;7.036;0.006
2021-10-05 14:13:21;5.670;0.003
2021-11-01 14:13:19;4.770;0.018
2021-11-28 14:13:19;3.340;0.006
2021-12-25 14:13:19;2.882;0.012
2022-01-21 14:13:24;2.079;0.027
2022-02-17 14:13:22;1.764;0.075
2022-03-16 14:13:21;2.077;0.046
2022-04-12 14:13:22;1.730;0.001
2022-05-09 14:13:25;2.007;0.015
2022-06-05 14:13:23;3.933;0.028
2022-07-02 14:13:23;6.309;0.027
2022-07-29 14:13:19;6.497;0.013
2022-08-25 14:13:15;6.693;0.026
2022-09-21 14:13:19;6.759;0.004
2022-10-18 14:13:19;5.077;0.010
2022-11-14 14:13:16;4.803;0.005
2022-12-11 14:13:14;4.059;0.031
2023-01-07 14:13:17;2.847;0.035
2023-02-03 14:13:19;2.065;0.003
2023-03-02 14:13:16;1.675;0.153
2023-03-29 14:13:21;1.576;0.041
2023-04-25 14:13:21;1.570;0.148
2023-05-22 14:13:21;1.660;0.022
2023-06-18 14:13:17;3.668;0.009
2023-07-15 14:13:16;5.917;0.030
2023-08-11 14:13:12;6.346;0.020
2023-09-07 14:13:14;5.607;0.001
2023-10-04 14:13:15;3.890;0.034
2023-10-31 14:13:16;2.660;0.025
2023-11-27 14:13:11;2.265;0.028
2023-12-24 14:13:17;1.885;0.001
2024-01-20 14:13:17;1.613;0.022
2024-02-16 14:13:17;1.435;0.097
2024-03-14 14:13:17;1.744;0.192
2024-04-10 14:13:21;1.310;0.067
2024-05-07 14:13:22;1.392;0.118
2024-06-03 14:13:23;2.006;0.040
2024-06-30 14:13:22;4.897;0.011
2024-07-27 14:13:18;6.324;0.024
2024-08-23 14:13:16;6.606;0.014
2024-09-19 14:13:15;5.057;0.014
2024-10-16 14:13:18;3.345;0.029
2024-11-12 14:13:15;2.323;0.022
2024-12-09 14:13:13;2.134;0.010
2025-01-05 14:13:16;1.689;0.007
2025-02-01 14:13:19;1.819;0.001
2025-02-28 14:13:18;1.642;0.044
2025-04-23 14:13:23;1.440;0.002
2025-05-20 14:13:26;2.123;0.045
2025-06-16 14:13:26;4.394;0.032
2025-07-13 14:13:26;6.498;0.018
2025-08-09 14:13:25;7.267;0.011
2025-09-05 14:13:20;7.402;0.014
2025-10-02 14:13:25;6.388;0.012
2025-10-29 14:13:27;4.771;0.006
2025-11-25 14:13:24;3.339;0.024
