datetime;wse;wse_u
2002-06-17 14:24:39;23.257;0.048
2002-07-22 14:24:39;25.337;0.018
2002-08-26 14:24:34;25.741;0.027
2002-09-30 14:24:37;24.466;0.175
2002-11-04 14:24:38;20.929;0.007
2002-12-09 14:24:36;19.676;0.032
2003-01-13 14:24:34;15.616;0.092
2003-04-28 14:24:39;17.004;0.016
2003-06-02 14:24:35;21.427;0.014
2003-07-07 14:24:41;23.409;0.011
2003-08-11 14:24:45;25.004;0.096
2003-09-15 14:24:48;26.524;0.026
2003-10-20 14:24:43;23.884;0.050
2003-11-24 14:24:43;20.706;0.088
2004-02-02 14:24:41;15.265;0.045
2004-04-12 14:24:41;15.374;0.060
2004-05-17 14:24:44;20.754;0.002
2004-07-26 14:24:48;25.593;0.064
2004-08-30 14:24:45;26.543;0.018
2004-10-04 14:24:44;24.588;0.003
2004-11-08 14:24:44;21.541;0.045
2004-12-13 14:24:42;17.178;0.135
2005-01-17 14:24:41;16.545;0.010
2005-02-21 14:24:41;15.572;0.059
2005-05-02 14:24:49;20.046;0.052
2005-07-11 14:24:50;24.548;0.003
2005-09-19 14:24:44;25.189;0.028
2005-10-24 14:24:46;21.078;0.018
2005-11-28 14:24:41;20.448;0.094
2006-04-17 14:24:36;16.374;0.183
2006-05-22 14:24:39;18.789;0.046
2006-06-26 14:24:44;22.156;0.023
2006-07-31 14:24:45;26.638;0.065
2006-09-04 14:24:40;26.716;0.002
2006-10-09 14:24:42;22.916;0.118
2006-11-13 14:24:42;20.992;0.080
2007-01-22 14:24:35;15.788;0.021
2007-04-02 14:24:35;15.336;0.046
2007-05-07 14:24:39;17.985;0.041
2007-06-11 14:24:41;20.569;0.095
2007-08-20 14:24:40;25.869;0.005
2007-10-29 14:24:35;21.451;0.001
2007-12-03 14:24:32;19.962;0.166
2008-01-07 14:24:34;17.608;0.023
2008-02-11 14:24:33;15.090;0.032
2008-05-26 14:24:35;18.781;0.014
2008-06-30 14:24:35;19.846;0.046
2008-08-04 14:24:35;24.653;0.005
2008-09-08 14:24:31;24.933;0.067
2008-12-22 14:24:32;19.757;0.017
2009-01-26 14:24:30;16.923;0.006
2009-04-06 14:24:29;16.349;0.052
2009-05-11 14:24:32;17.706;0.008
2009-06-15 14:24:34;19.404;0.010
2009-11-02 14:24:28;20.023;0.009
2009-12-07 14:24:24;17.160;0.015
2010-01-11 14:24:27;15.220;0.001
2010-04-26 14:24:24;19.190;0.033
2010-05-31 14:24:24;22.420;0.001
2010-08-09 14:24:26;26.288;0.058
