datetime;wse;wse_u
2002-10-19 14:27:27;28.331;0.031
2002-11-23 14:27:27;25.553;0.002
2002-12-28 14:27:24;21.807;0.013
2003-02-01 14:27:25;18.891;0.014
2003-03-08 14:27:25;17.954;0.029
2003-04-12 14:27:27;18.776;0.011
2003-06-21 14:27:29;26.017;0.050
2003-08-30 14:27:37;31.334;0.009
2003-10-04 14:27:33;29.307;0.031
2003-11-08 14:27:30;27.698;0.100
2004-01-17 14:27:31;21.116;0.035
2004-02-21 14:27:30;18.556;0.021
2004-03-27 14:27:33;18.663;0.014
2004-06-05 14:27:36;26.408;0.008
2004-08-14 14:27:34;31.191;0.025
2004-10-23 14:27:36;28.120;0.019
2004-11-27 14:27:34;24.685;0.049
2005-01-01 14:27:28;22.047;0.013
2005-02-05 14:27:32;19.788;0.056
2005-03-12 14:27:30;19.128;0.004
2005-04-16 14:27:36;20.349;0.004
2005-06-25 14:27:39;26.790;0.038
2005-07-30 14:27:36;28.826;0.012
2005-09-03 14:27:33;29.336;0.027
2005-10-08 14:27:34;27.013;0.097
2005-11-12 14:27:34;24.836;0.084
2005-12-17 14:27:28;23.114;0.043
2006-02-25 14:27:24;20.190;0.039
2006-04-01 14:27:21;20.321;0.023
2006-05-06 14:27:28;22.237;0.015
2006-06-10 14:27:30;25.982;0.086
2006-07-15 14:27:34;29.894;0.004
2006-08-19 14:27:32;31.754;0.003
2006-12-02 14:27:32;25.355;0.034
2007-01-06 14:27:28;21.957;0.004
2007-02-10 14:27:27;19.408;0.052
2007-03-17 14:27:26;17.968;0.029
2007-04-21 14:27:27;21.552;0.007
2007-05-26 14:27:29;24.930;0.008
2007-08-04 14:27:30;30.185;0.018
2007-09-08 14:27:27;28.560;0.041
2007-10-13 14:27:25;28.836;0.000
2007-11-17 14:27:23;25.358;0.066
2007-12-22 14:27:23;21.672;0.025
2008-01-26 14:27:23;20.308;0.007
2008-03-01 14:27:24;19.112;0.017
2008-04-05 14:27:24;18.457;0.058
2008-06-14 14:27:25;24.836;0.024
2008-07-19 14:27:25;28.088;0.022
2008-08-23 14:27:23;30.008;0.099
2008-09-27 14:27:22;28.330;0.099
2008-11-01 14:27:21;23.908;0.026
2009-01-10 14:27:20;21.389;0.063
2009-02-14 14:27:22;20.973;0.080
2009-03-21 14:27:21;19.479;0.021
2009-04-25 14:27:21;20.626;0.025
2009-05-30 14:27:23;22.808;0.011
2009-07-04 14:27:23;26.534;0.001
2009-08-08 14:27:23;28.842;0.042
2009-09-12 14:27:19;27.870;0.018
2009-10-17 14:27:17;25.172;0.018
2009-11-21 14:27:16;22.572;0.028
2009-12-26 14:27:16;19.602;0.037
2010-03-06 14:27:16;17.135;0.033
2010-04-10 14:27:15;18.593;0.011
2010-06-19 14:27:13;28.150;0.048
2010-07-24 14:27:15;29.499;0.036
2010-08-28 14:27:15;31.060;0.079
2010-10-02 14:27:11;28.666;0.012
2013-04-01 22:32:25;20.068;0.014
2013-05-06 22:32:04;23.008;0.001
2013-06-10 22:31:43;26.546;0.002
2013-07-15 22:31:21;27.493;0.025
2013-08-19 22:31:21;29.506;0.004
2013-09-23 22:31:35;29.359;0.001
2013-10-28 22:31:36;25.952;0.039
2013-12-02 22:31:34;23.931;0.049
2014-01-06 22:31:32;20.808;0.004
2014-02-10 22:31:32;18.818;0.009
2014-03-17 22:31:28;18.253;0.005
2014-04-21 22:31:25;19.682;0.001
2014-05-26 22:31:23;23.496;0.009
2014-06-30 22:31:21;26.465;0.095
2014-08-04 22:31:16;30.092;0.002
2014-09-08 22:31:13;29.690;0.003
2014-10-13 22:31:17;27.908;0.004
2014-11-17 22:31:08;26.168;0.031
2014-12-22 22:31:04;22.299;0.019
2015-01-26 22:31:01;19.626;0.002
2015-03-02 22:31:01;19.136;0.013
2015-05-11 22:30:45;21.665;0.000
2015-07-20 22:30:28;28.623;0.001
2015-08-24 22:30:36;30.680;0.001
2015-09-28 22:30:35;28.660;0.006
2015-11-02 22:30:32;24.673;0.005
2015-12-07 22:30:23;21.720;0.052
2016-01-11 22:30:11;20.257;0.002
2016-02-15 22:30:12;18.064;0.004
2016-03-21 22:30:05;17.540;0.002
2016-04-25 22:30:05;20.965;0.005
2016-04-30 02:17:40;21.554;0.008
2016-05-27 02:17:42;25.509;0.005
2016-05-30 22:29:40;24.874;0.030
2016-06-23 02:17:43;27.990;0.006
2016-07-20 02:17:42;30.458;0.012
2016-08-16 02:17:41;31.733;0.021
2016-09-12 02:17:43;30.509;0.003
2016-10-09 02:17:46;28.516;0.009
2016-11-05 02:17:42;26.097;0.003
2016-12-02 02:17:40;24.570;0.004
2016-12-29 02:17:42;23.164;0.014
2017-01-25 02:17:43;21.195;0.013
2017-02-21 02:17:42;19.216;0.023
2017-03-20 02:17:42;19.508;0.009
2017-04-16 02:17:46;20.288;0.006
2017-05-13 02:17:50;23.773;0.006
2017-06-09 02:17:52;25.719;0.007
2017-07-06 02:17:50;28.828;0.002
2017-08-02 02:17:48;31.356;0.015
2017-08-29 02:17:45;30.486;0.098
2017-09-25 02:17:45;28.080;0.014
2017-10-22 02:17:49;26.928;0.032
2017-11-18 02:17:48;25.722;0.027
2017-12-15 02:17:45;22.432;0.013
2018-01-11 02:17:49;20.298;0.004
2018-02-07 02:17:50;19.813;0.002
2018-04-02 02:17:50;17.335;0.024
2018-04-29 02:17:53;21.166;0.006
2018-05-26 02:17:52;25.637;0.007
2018-06-22 02:17:54;28.246;0.000
2018-07-19 02:17:52;31.289;0.003
2018-08-15 02:17:49;32.929;0.006
2018-09-11 02:17:49;32.471;0.007
2018-10-08 02:17:53;30.429;0.063
2018-11-04 02:17:53;26.564;0.010
2018-12-01 02:17:50;24.200;0.078
2018-12-28 02:17:49;20.563;0.018
2019-01-24 02:17:52;18.763;0.001
2019-02-20 02:17:52;18.474;0.001
2019-03-19 02:17:51;17.341;0.023
2019-04-15 02:17:56;18.599;0.003
2019-05-12 02:17:58;21.499;0.019
2019-06-08 02:17:58;25.301;0.008
2019-07-05 02:17:57;27.841;0.003
2019-08-01 02:17:56;29.863;0.005
2019-08-28 02:17:51;30.678;0.003
2019-09-24 02:17:55;29.585;0.007
2019-10-21 02:17:56;26.347;0.021
2019-11-17 02:17:54;25.390;0.012
2020-01-10 02:17:54;21.482;0.001
2020-02-06 02:17:55;19.358;0.016
2020-03-04 02:17:53;18.130;0.009
2020-04-27 02:18:01;18.952;0.013
2020-05-24 02:18:02;22.287;0.009
2020-06-20 02:18:00;25.035;0.018
2020-07-17 02:18:00;27.295;0.001
2020-08-13 02:17:59;28.717;0.010
2020-09-09 02:17:57;27.802;0.001
2020-10-06 02:17:59;25.707;0.023
2020-11-02 02:17:59;24.905;0.002
2020-11-29 02:17:54;25.124;0.003
2020-12-26 02:17:55;23.575;0.009
